Cell_Line	Known_Fusion	Gene1	Gene2	Reference
MCF7	BCAS4::BCAS3	BCAS4	BCAS3	https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub
MCF7	RAD51C::ATXN7	RAD51C	ATXN7	https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub
MCF7	ARFGEF2::SULF2	ARFGEF2	SULF2	https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub
MCF7	SULF2::PRICKLE2	SULF2	PRICKLE2	https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub
MCF7	MYO9B::FCHO1	MYO9B	FCHO1	https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub
MCF7	DEPDC1B::ELOVL7	DEPDC1B	ELOVL7	https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub
MCF7	TEX14::PTPRG	TEX14	PTPRG	https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub
MCF7	ABCA5::PPP4R1L	ABCA5	PPP4R1L	https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub
MCF7	RPS6KB1::VMP1	RPS6KB1	VMP1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5
MCF7	GCN1L1::MSI1	GCN1L1	MSI1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	AC099850.1::VMP1	AC099850.1	VMP1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	SMARCA4::CARM1	SMARCA4	CARM1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	SLC25A24::NBPF6	SLC25A24	NBPF6	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	USP31::CRYL1	USP31	CRYL1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	TBL1XR1::RGS17	TBL1XR1	RGS17	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	TAF4::BRIP1	TAF4	BRIP1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	RPS6KB1::DIAPH3	RPS6KB1	DIAPH3	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	AHCYL1::RAD51C	AHCYL1	RAD51C	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	C16orf45::ABCC1	C16orf45	ABCC1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	C16orf62::IQCK	C16orf62	IQCK	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	TXLNG::SYAP1	TXLNG	SYAP1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	MYO6::SENP6	MYO6	SENP6	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	POP1::MATN2	POP1	MATN2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	GATAD2B::NUP210L	GATAD2B	NUP210L	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	ESR1::CCDC170	ESR1	CCDC170	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	ATXN7L3::FAM171A2	ATXN7L3	FAM171A2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	SYTL2::PICALM	SYTL2	PICALM	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	ADAMTS19::SLC27A6	ADAMTS19	SLC27A6	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	ARHGAP19::DRG1	ARHGAP19	DRG1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	PAPOLA::AK7	PAPOLA	AK7	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	ANKS1A::UHRF1BP1	ANKS1A	UHRF1BP1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	ATP1A1::ZFP64	ATP1A1	ZFP64	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	B3GNTL1::SLC9A8	B3GNTL1	SLC9A8	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	BCAS3::AMPD1	BCAS3	AMPD1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	BCAS3::ATXN7	BCAS3	ATXN7	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	BCAS4::ZMYND8	BCAS4	ZMYND8	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	CHEK2::XBP1	CHEK2	XBP1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	KCND3::PPM1E	KCND3	PPM1E	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	RP11-145E5.5::CDKN2B-AS1	RP11-145E5.5	CDKN2B-AS1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	NAV1::GPR37L1	NAV1	GPR37L1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	NCOA3::SULF2	NCOA3	SULF2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	PLCG1::TOP1	PLCG1	TOP1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	PNPLA7::DPH7	PNPLA7	DPH7	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	PTPRG::CCDC129	PTPRG	CCDC129	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	PTPRN2::ESYT2	PTPRN2	ESYT2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	RSBN1::AP4B1-AS1	RSBN1	AP4B1-AS1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	SGPP2::ULK4	SGPP2	ULK4	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	TOP1::LOC100128988	TOP1	LOC100128988	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	TSPAN9::TEAD4	TSPAN9	TEAD4	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	UBE2V1::TBX2	UBE2V1	TBX2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	VAV3::AP4B1-AS1	VAV3	AP4B1-AS1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	ZMYND8::USP32	ZMYND8	USP32	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
MCF7	MYH9::EIF3D	MYH9	EIF3D	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
K562	NUP214::XKR3	NUP214	XKR3	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
K562	PRIM1::NACA	PRIM1	NACA	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
K562	BRK1::VHL	BRK1	VHL	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
K562	ACCS::EXT2	ACCS	EXT2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
K562	SLC29A1::HSP90AB1	SLC29A1	HSP90AB1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
K562	BCR::ABL1	BCR	ABL1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5#MOESM3
