sample	contig	fusion.genes	spanning.reads	classification	recall_category	control	depth	Sequence_Identity	fusionType
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	e8ce7f8a-4de8-1bc8-6013-c2389dfcdf40	CBY3:ENSG00000228274	43	HighConfidence	Partial_Recall	positive	100GB	95%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Simulated_100GB_nanopore2023_Q95.fastq	009ae816-e5a4-e0c9-5cbe-7c2813eaebcb	ENSG00000254485:SRGAP3	42	HighConfidence	False_Call	negative	100GB	95%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	01d47506-7bec-05c5-6ad3-bd782c726b80	SAMD5:ENSG00000227681	42	HighConfidence	False_Call	positive	100GB	95%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	1afb6000-ab99-2f5f-4db8-5b6075cb0181	LINC00595:ENSG00000282863	42	HighConfidence	False_Call	positive	100GB	90%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	0a4f9155-ce45-df33-3fee-44fa7cda7ef3	ASPN:RPP40	41	HighConfidence	Partial_Recall	positive	100GB	90%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	007607fc-7490-193b-6547-0eeaedddd2c9	FAM174B:CPA4	41	HighConfidence	Partial_Recall	positive	100GB	95%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Simulated_100GB_nanopore2023_Q95.fastq	067bb97f-02e7-5425-958a-abf824c055d9	SAMD5:ENSG00000227681	39	HighConfidence	False_Call	negative	100GB	95%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	11474eca-4cc2-8d15-ca9b-40967f7c74e4	LINC00595:ENSG00000282863	39	HighConfidence	False_Call	positive	100GB	95%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Simulated_100GB_nanopore2023_Q95.fastq	03464c77-fecb-40ea-eb2b-2f4880cb44e1	LINC00595:ENSG00000282863	38	HighConfidence	False_Call	negative	100GB	95%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	014db3a5-59f1-1057-e2a1-1ec2e187d342	ENSG00000254485:SRGAP3	37	HighConfidence	False_Call	positive	100GB	95%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	e4b98b0e-de1f-ee59-a91f-4cc79a6f9ce9	GSAP:DYNC1I2	37	HighConfidence	Partial_Recall	positive	100GB	95%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	ad48327d-44a0-8aff-081e-2e8f51a26a36	ENSG00000223634:LINC02923	36	HighConfidence	True_Recall	positive	100GB	95%	read_through
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Simulated_100GB_nanopore2023_Q90.fastq	05a99368-147b-857f-c24a-e4514f435c2b	SAMD5:ENSG00000227681	36	HighConfidence	False_Call	negative	100GB	90%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	7e4e9adc-88b1-f5f8-38be-9c1f6f1d67e6	PSMD5:EBLN3P	36	HighConfidence	True_Recall	positive	100GB	95%	intra_chromosome
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	5a172d53-ef9a-756c-066a-6e16cc560375	GSAP:DYNC1I2	35	HighConfidence	Partial_Recall	positive	100GB	90%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	07b57a5f-743b-d262-7077-f1b4a2fe1bf9	MFSD10:RAB34	34	HighConfidence	Partial_Recall	positive	100GB	95%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	65e722fd-e068-7f56-17fe-2517844c2160	ENSG00000276418:ENSG00000197462	34	HighConfidence	False_Call	positive	100GB	95%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	10245ac0-29a5-134d-5b38-0332ddea188d	SRD5A2:VAC14	33	HighConfidence	Partial_Recall	positive	100GB	95%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	bc45245b-da06-fccd-64cc-5a9e7005b1d6	ENSG00000260995:CASP7	33	HighConfidence	Partial_Recall	positive	100GB	95%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	80f37247-c6ea-be87-5acd-955c07bc2095	RNF216:LRRC18	32	HighConfidence	Partial_Recall	positive	100GB	95%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	0db6e628-6517-0097-e06b-6f9e6ff27166	ENSG00000254485:SRGAP3	31	HighConfidence	False_Call	positive	100GB	90%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Simulated_100GB_nanopore2023_Q90.fastq	1c86be9a-8dff-63a3-a3df-535cd5371319	LINC00595:ENSG00000282863	31	HighConfidence	False_Call	negative	100GB	90%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	0381996f-f882-1e21-0015-503cc0811a6d	USP44:MIP	31	HighConfidence	Partial_Recall	positive	100GB	95%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	bccfa7ab-b521-353e-d816-db17c0e4c961	CHRNA6:TMEM67	31	HighConfidence	True_Recall	positive	100GB	95%	intra_chromosome
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq	7dea3b02-f73a-df4c-b809-ea7096889b1f	GSAP:DYNC1I2	31	HighConfidence	Partial_Recall	positive	100GB	85%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	5a112cce-ac1e-4a80-6f4f-226cdb89c97b	ASPN:RPP40	31	HighConfidence	Partial_Recall	positive	100GB	95%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	51d3a735-339c-c93c-a6f6-685978fe97ab	AP1G2:KTN1	30	HighConfidence	True_Recall	positive	100GB	90%	intra_chromosome
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	4741b95d-fc1d-c971-2781-b3ec64e6fc49	ENSG00000257894:LINC02963	30	HighConfidence	True_Recall	positive	100GB	95%	intra_chromosome
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	04ed4c2a-16f6-1af4-eee8-c2476c81258a	ZBED8:TMEM167A	30	HighConfidence	True_Recall	positive	100GB	95%	intra_chromosome
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Simulated_100GB_nanopore2023_Q90.fastq	0736da03-5008-2552-0202-9bd6af76da01	ENSG00000254485:SRGAP3	29	HighConfidence	False_Call	negative	100GB	90%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq	29a01650-c8b6-af6d-d7fa-b258d4fffb89	AP1G2:KTN1	29	HighConfidence	True_Recall	positive	100GB	85%	intra_chromosome
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	63c0a959-7c04-da60-1245-cf08c3c2e8f3	NRDE2:SNHG6	29	HighConfidence	Partial_Recall	positive	100GB	95%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	fc821f21-17f7-79fc-1762-e4291a209443	AP1G2:KTN1	28	HighConfidence	True_Recall	positive	100GB	95%	intra_chromosome
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	60a4358e-c385-15d9-6bf8-8658ad9bd5ba	USP44:MIP	28	HighConfidence	Partial_Recall	positive	100GB	90%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	3d94f1da-7a90-e7c5-8a43-d10b74ae358a	ENSG00000236494:ENSG00000233219	27	HighConfidence	True_Recall	positive	100GB	95%	read_through
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq	8a390b64-f5e8-9dbf-0395-c920cae4b958	POMT2:GNAO1	27	HighConfidence	True_Recall	positive	100GB	85%	hybrid
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	01fcc5a6-127f-d940-a9bc-1b61d677e977	SAMD5:ENSG00000227681	26	HighConfidence	False_Call	positive	100GB	90%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq	086f9539-5ce0-aea4-f449-c72c8b6a008e	EIF4G1:ENSG00000275389	26	HighConfidence	Partial_Recall	positive	100GB	85%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	5a4aa6e5-b921-5455-f793-6bf4f1de0ff7	LINC01227:KRBOX5	25	HighConfidence	True_Recall	positive	100GB	90%	intra_chromosome
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	58ef40aa-8d46-8397-2be1-dbacfd3b0cf0	CHRNA6:TMEM67	25	HighConfidence	True_Recall	positive	100GB	90%	intra_chromosome
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	23bd6abf-ece8-fc5f-01fe-31e182a59922	ZBED8:TMEM167A	25	HighConfidence	True_Recall	positive	100GB	90%	intra_chromosome
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq	afcdfee4-703b-ab41-f046-165306f3f49d	CBY3:ENSG00000228274	24	HighConfidence	Partial_Recall	positive	100GB	85%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	2dee256b-a675-9e95-5c12-77ad0d24555f	RNF216:LRRC18	24	HighConfidence	Partial_Recall	positive	100GB	90%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	9b8cd747-457a-d541-0afe-479c5ed9b13b	NRDE2:SNHG6	24	HighConfidence	Partial_Recall	positive	100GB	90%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	881bc4cd-f930-04cb-a199-f62c7c826bb0	PSMD5:EBLN3P	23	HighConfidence	True_Recall	positive	100GB	90%	intra_chromosome
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	08319882-52e2-3d9a-7646-02efdaca5a11	FAM174B:CPA4	23	HighConfidence	Partial_Recall	positive	100GB	90%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	0ac74776-ccc3-30e2-1196-d97cd058a75f	SLC35F4:ENSG00000283352	23	HighConfidence	False_Call	positive	100GB	90%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	5d1254c7-d1d0-1cf7-2cce-8d9fdd16bad6	NUP155:PIK3R1	22	HighConfidence	True_Recall	positive	100GB	90%	intra_chromosome
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	0396708e-5458-4dd9-6699-e4b8105999e2	SCARNA2:LYPLA2	22	HighConfidence	False_Call	positive	100GB	95%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq	466fc4a5-9e7a-d21e-b6a5-5085a59b2d53	RER1:GMNC	22	HighConfidence	True_Recall	positive	100GB	85%	hybrid
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	7ece7d74-c687-c363-e19f-20ca7daecc18	EIF4G1:ENSG00000275389	22	HighConfidence	Partial_Recall	positive	100GB	95%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq	09409a39-0ceb-c8a2-6e78-f6378fc83a90	ZBED8:TMEM167A	21	HighConfidence	True_Recall	positive	100GB	85%	intra_chromosome
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	04811a57-8894-f368-b94a-9a7bc144ccde	SRD5A2:VAC14	21	HighConfidence	Partial_Recall	positive	100GB	90%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	025a69b2-ed56-c2d4-9ef9-2459afdda6e2	EIF4G1:ENSG00000275389	21	HighConfidence	Partial_Recall	positive	100GB	90%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	19670261-1d12-9671-b96f-e1895a6a9716	FABP6:ENSG00000231530	21	HighConfidence	Partial_Recall	positive	100GB	95%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Simulated_100GB_nanopore2023_Q85.fastq	11ac2732-0f0e-5514-967b-2697c6253b41	LINC00595:ENSG00000282863	20	HighConfidence	False_Call	negative	100GB	85%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	3abaa407-1f00-b824-9217-c62edf2836c9	ENSG00000234255:TMEM108-AS1	20	HighConfidence	True_Recall	positive	100GB	95%	hybrid
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Simulated_100GB_nanopore2023_Q90.fastq	0dcb30d4-1ef3-8af1-eba7-67a0b63adb5e	SATB1:TBC1D5	19	HighConfidence	False_Call	negative	100GB	90%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	dfa5c991-ac89-4e49-a8af-f0291dd3e71a	PNPLA8:ENSG00000225612	19	HighConfidence	True_Recall	positive	100GB	90%	intra_chromosome
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq	025c95c2-db14-dc00-f9df-208e72d367aa	FAM174B:CPA4	19	HighConfidence	Partial_Recall	positive	100GB	85%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Simulated_100GB_nanopore2023_Q95.fastq	01fe9490-b3d1-6fa3-268b-42a816302b2c	SATB1:TBC1D5	18	HighConfidence	False_Call	negative	100GB	95%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq	4fe62927-e661-6f73-d96f-497b79fffac5	ASPN:RPP40	18	HighConfidence	Partial_Recall	positive	100GB	85%	truncated_tri_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq	316f5934-92ec-a353-55e3-458ee82478e5	LINC00595:ENSG00000282863	17	HighConfidence	False_Call	positive	100GB	85%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	e4b98b0e-de1f-ee59-a91f-4cc79a6f9ce9	ENSG00000273471:GSAP	17	HighConfidence	False_Call	positive	100GB	95%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq	67e3c67e-9fe5-01bf-1ef9-624243042fb6	MYT1L:CARF	16	HighConfidence	True_Recall	positive	100GB	85%	intra_chromosome
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq	0241a26b-3fee-b445-cb6c-8944ec602692	SLC17A5:RPL7L1	15	HighConfidence	True_Recall	positive	100GB	85%	intra_chromosome
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	00c8ee7d-74a7-e244-1535-21b50759e5ad	ENSG00000290419:TK2	15	HighConfidence	False_Call	positive	100GB	95%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	1e8c25ac-76cd-8ae8-7b8d-59ecfb29772c	ENSG00000276418:ENSG00000197462	15	HighConfidence	False_Call	positive	100GB	90%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	019dc92b-88f8-9d10-3b78-aea50bae90e9	SATB1:TBC1D5	13	HighConfidence	False_Call	positive	100GB	90%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q95.fastq	07f66853-a2c4-df85-316f-2d8c21250091	SATB1:TBC1D5	13	HighConfidence	False_Call	positive	100GB	95%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q90.fastq	5528259d-96f5-a191-b1d6-d9624877a0e1	ENSG00000290419:TK2	13	HighConfidence	False_Call	positive	100GB	90%	false_fusion
jaffal_results_porechopped_sim_dataporechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq	adfd4434-2c1c-5f7c-a8a4-3b6c90f36b66	LINC01227:KRBOX5	13	HighConfidence	True_Recall	positive	100GB	85%	intra_chromosome
