Algorithm	Platform	library_type	RNA_sample	n_fusions
Arriba	Illumina	PCR_cDNA	B1	124
Arriba	Illumina	PCR_cDNA	B2	157
CTAT-LR-Fusion	ONT	PCR_cDNA	B1	159
CTAT-LR-Fusion	ONT	PCR_cDNA	B2	472
CTAT-LR-Fusion	ONT	direct_RNA	B1	27
CTAT-LR-Fusion	ONT	direct_RNA	B2	22
CTAT-LR-Fusion	ONT	direct_cDNA	B1	624
CTAT-LR-Fusion	ONT	direct_cDNA	B2	700
CTAT-LR-Fusion	PacBio	PCR_cDNA	B1	233
CTAT-LR-Fusion	PacBio	PCR_cDNA	B2	181
FusionSeeker	ONT	PCR_cDNA	B1	141274
FusionSeeker	ONT	PCR_cDNA	B2	29000
FusionSeeker	ONT	direct_RNA	B1	68
FusionSeeker	ONT	direct_RNA	B2	50
FusionSeeker	ONT	direct_cDNA	B1	1698
FusionSeeker	ONT	direct_cDNA	B2	1846
FusionSeeker	PacBio	PCR_cDNA	B1	4516
FusionSeeker	PacBio	PCR_cDNA	B2	4510
GFSeeker	ONT	PCR_cDNA	B1	1634
GFSeeker	ONT	PCR_cDNA	B2	1948
GFSeeker	ONT	direct_RNA	B1	47
GFSeeker	ONT	direct_RNA	B2	33
GFSeeker	ONT	direct_cDNA	B1	32
GFSeeker	ONT	direct_cDNA	B2	22
GFSeeker	PacBio	PCR_cDNA	B1	3212
GFSeeker	PacBio	PCR_cDNA	B2	3114
Genion	ONT	PCR_cDNA	B1	394
Genion	ONT	PCR_cDNA	B2	353
Genion	ONT	direct_RNA	B1	75
Genion	ONT	direct_RNA	B2	51
Genion	ONT	direct_cDNA	B1	20
Genion	ONT	direct_cDNA	B2	26
Genion	PacBio	PCR_cDNA	B1	916
Genion	PacBio	PCR_cDNA	B2	964
JAFFA-direct	Illumina	PCR_cDNA	B1	668881
JAFFA-direct	Illumina	PCR_cDNA	B2	811593
JAFFAL	ONT	PCR_cDNA	B1	1014
JAFFAL	ONT	PCR_cDNA	B2	1117
JAFFAL	ONT	direct_RNA	B1	19
JAFFAL	ONT	direct_RNA	B2	12
JAFFAL	ONT	direct_cDNA	B1	32
JAFFAL	ONT	direct_cDNA	B2	26
JAFFAL	PacBio	PCR_cDNA	B1	2802
JAFFAL	PacBio	PCR_cDNA	B2	2681
LongGF	ONT	PCR_cDNA	B1	500
LongGF	ONT	PCR_cDNA	B2	502
LongGF	ONT	direct_RNA	B1	8
LongGF	ONT	direct_RNA	B2	7
LongGF	ONT	direct_cDNA	B1	154
LongGF	ONT	direct_cDNA	B2	130
LongGF	PacBio	PCR_cDNA	B1	1308
LongGF	PacBio	PCR_cDNA	B2	1223
STAR-Fusion	Illumina	PCR_cDNA	B1	20
STAR-Fusion	Illumina	PCR_cDNA	B2	25
