control	depth	Sequence_Identity	Algorithm	False_Call_Number	Partial_Call_Number	True_Call_Number
negative	100GB	85%	CTAT-LR-Fusion	20	0	0
negative	100GB	85%	FusionSeeker	549	0	0
negative	100GB	85%	Genion	84	0	0
negative	100GB	85%	GFSeeker	357	0	0
negative	100GB	85%	JAFFAL	17	0	0
negative	100GB	85%	LongGF	20	0	0
negative	100GB	90%	CTAT-LR-Fusion	28	0	0
negative	100GB	90%	FusionSeeker	362	0	0
negative	100GB	90%	Genion	60	0	0
negative	100GB	90%	GFSeeker	598	0	0
negative	100GB	90%	JAFFAL	37	0	0
negative	100GB	90%	LongGF	40	0	0
negative	100GB	95%	CTAT-LR-Fusion	22	0	0
negative	100GB	95%	FusionSeeker	202	0	0
negative	100GB	95%	Genion	39	0	0
negative	100GB	95%	GFSeeker	630	0	0
negative	100GB	95%	JAFFAL	54	0	0
negative	100GB	95%	LongGF	33	0	0
negative	10GB	85%	CTAT-LR-Fusion	10	0	0
negative	10GB	85%	FusionSeeker	98	0	0
negative	10GB	85%	Genion	7	0	0
negative	10GB	85%	GFSeeker	12	0	0
negative	10GB	85%	JAFFAL	1	0	0
negative	10GB	85%	LongGF	2	0	0
negative	10GB	90%	CTAT-LR-Fusion	18	0	0
negative	10GB	90%	FusionSeeker	79	0	0
negative	10GB	90%	Genion	2	0	0
negative	10GB	90%	GFSeeker	12	0	0
negative	10GB	90%	JAFFAL	4	0	0
negative	10GB	90%	LongGF	5	0	0
negative	10GB	95%	CTAT-LR-Fusion	18	0	0
negative	10GB	95%	FusionSeeker	79	0	0
negative	10GB	95%	Genion	2	0	0
negative	10GB	95%	GFSeeker	12	0	0
negative	10GB	95%	JAFFAL	4	0	0
negative	10GB	95%	LongGF	5	0	0
negative	1GB	85%	CTAT-LR-Fusion	0	0	0
negative	1GB	85%	FusionSeeker	7	0	0
negative	1GB	85%	Genion	3	0	0
negative	1GB	85%	GFSeeker	0	0	0
negative	1GB	85%	JAFFAL	0	0	0
negative	1GB	85%	LongGF	0	0	0
negative	1GB	90%	CTAT-LR-Fusion	1	0	0
negative	1GB	90%	FusionSeeker	14	0	0
negative	1GB	90%	Genion	0	0	0
negative	1GB	90%	GFSeeker	0	0	0
negative	1GB	90%	JAFFAL	0	0	0
negative	1GB	90%	LongGF	0	0	0
negative	1GB	95%	CTAT-LR-Fusion	1	0	0
negative	1GB	95%	FusionSeeker	14	0	0
negative	1GB	95%	Genion	0	0	0
negative	1GB	95%	GFSeeker	0	0	0
negative	1GB	95%	JAFFAL	0	0	0
negative	1GB	95%	LongGF	0	0	0
positive	100GB	85%	CTAT-LR-Fusion	22	50	54
positive	100GB	85%	FusionSeeker	777	165	71
positive	100GB	85%	Genion	111	85	46
positive	100GB	85%	GFSeeker	389	125	27
positive	100GB	85%	JAFFAL	48	64	70
positive	100GB	85%	LongGF	33	55	10
positive	100GB	90%	CTAT-LR-Fusion	40	69	87
positive	100GB	90%	FusionSeeker	642	180	76
positive	100GB	90%	Genion	104	121	58
positive	100GB	90%	GFSeeker	617	132	38
positive	100GB	90%	JAFFAL	91	77	82
positive	100GB	90%	LongGF	37	63	11
positive	100GB	95%	CTAT-LR-Fusion	38	96	113
positive	100GB	95%	FusionSeeker	519	185	80
positive	100GB	95%	Genion	66	136	67
positive	100GB	95%	GFSeeker	632	135	42
positive	100GB	95%	JAFFAL	106	79	99
positive	100GB	95%	LongGF	43	63	11
positive	10GB	85%	CTAT-LR-Fusion	17	34	34
positive	10GB	85%	FusionSeeker	166	69	33
positive	10GB	85%	Genion	8	1	2
positive	10GB	85%	GFSeeker	16	51	15
positive	10GB	85%	JAFFAL	3	24	17
positive	10GB	85%	LongGF	4	26	4
positive	10GB	90%	CTAT-LR-Fusion	21	49	76
positive	10GB	90%	FusionSeeker	203	107	51
positive	10GB	90%	Genion	4	4	4
positive	10GB	90%	GFSeeker	24	54	30
positive	10GB	90%	JAFFAL	15	42	37
positive	10GB	90%	LongGF	10	41	9
positive	10GB	95%	CTAT-LR-Fusion	28	70	90
positive	10GB	95%	FusionSeeker	207	128	58
positive	10GB	95%	Genion	3	4	5
positive	10GB	95%	GFSeeker	27	87	26
positive	10GB	95%	JAFFAL	30	58	57
positive	10GB	95%	LongGF	11	37	10
positive	1GB	85%	CTAT-LR-Fusion	1	1	0
positive	1GB	85%	FusionSeeker	9	1	1
positive	1GB	85%	Genion	1	0	0
positive	1GB	85%	GFSeeker	1	3	1
positive	1GB	85%	JAFFAL	0	0	0
positive	1GB	85%	LongGF	0	0	0
positive	1GB	90%	CTAT-LR-Fusion	0	1	0
positive	1GB	90%	FusionSeeker	13	4	0
positive	1GB	90%	Genion	0	0	0
positive	1GB	90%	GFSeeker	1	2	1
positive	1GB	90%	JAFFAL	0	2	1
positive	1GB	90%	LongGF	0	1	0
positive	1GB	95%	CTAT-LR-Fusion	0	3	2
positive	1GB	95%	FusionSeeker	14	5	2
positive	1GB	95%	Genion	0	0	0
positive	1GB	95%	GFSeeker	1	3	0
positive	1GB	95%	JAFFAL	0	3	4
positive	1GB	95%	LongGF	1	0	0
