Platform	library_type	replicate	length_bin	percentile	mean_cov	n_transcripts
ONT	direct_cDNA	B1	1-2.5kb	0	0.133955	5720
ONT	direct_cDNA	B1	1-2.5kb	1	0.194309	5720
ONT	direct_cDNA	B1	1-2.5kb	2	0.239641	5720
ONT	direct_cDNA	B1	1-2.5kb	3	0.274436	5720
ONT	direct_cDNA	B1	1-2.5kb	4	0.301008	5720
ONT	direct_cDNA	B1	1-2.5kb	5	0.320403	5720
ONT	direct_cDNA	B1	1-2.5kb	6	0.336122	5720
ONT	direct_cDNA	B1	1-2.5kb	7	0.349696	5720
ONT	direct_cDNA	B1	1-2.5kb	8	0.360999	5720
ONT	direct_cDNA	B1	1-2.5kb	9	0.370454	5720
ONT	direct_cDNA	B1	1-2.5kb	10	0.379772	5720
ONT	direct_cDNA	B1	1-2.5kb	11	0.387706	5720
ONT	direct_cDNA	B1	1-2.5kb	12	0.395092	5720
ONT	direct_cDNA	B1	1-2.5kb	13	0.402404	5720
ONT	direct_cDNA	B1	1-2.5kb	14	0.409837	5720
ONT	direct_cDNA	B1	1-2.5kb	15	0.416616	5720
ONT	direct_cDNA	B1	1-2.5kb	16	0.422662	5720
ONT	direct_cDNA	B1	1-2.5kb	17	0.428863	5720
ONT	direct_cDNA	B1	1-2.5kb	18	0.434335	5720
ONT	direct_cDNA	B1	1-2.5kb	19	0.439522	5720
ONT	direct_cDNA	B1	1-2.5kb	20	0.44475	5720
ONT	direct_cDNA	B1	1-2.5kb	21	0.449738	5720
ONT	direct_cDNA	B1	1-2.5kb	22	0.454899	5720
ONT	direct_cDNA	B1	1-2.5kb	23	0.459197	5720
ONT	direct_cDNA	B1	1-2.5kb	24	0.463563	5720
ONT	direct_cDNA	B1	1-2.5kb	25	0.467202	5720
ONT	direct_cDNA	B1	1-2.5kb	26	0.470838	5720
ONT	direct_cDNA	B1	1-2.5kb	27	0.473829	5720
ONT	direct_cDNA	B1	1-2.5kb	28	0.476675	5720
ONT	direct_cDNA	B1	1-2.5kb	29	0.480235	5720
ONT	direct_cDNA	B1	1-2.5kb	30	0.483907	5720
ONT	direct_cDNA	B1	1-2.5kb	31	0.486206	5720
ONT	direct_cDNA	B1	1-2.5kb	32	0.488185	5720
ONT	direct_cDNA	B1	1-2.5kb	33	0.491137	5720
ONT	direct_cDNA	B1	1-2.5kb	34	0.493941	5720
ONT	direct_cDNA	B1	1-2.5kb	35	0.496278	5720
ONT	direct_cDNA	B1	1-2.5kb	36	0.498856	5720
ONT	direct_cDNA	B1	1-2.5kb	37	0.501861	5720
ONT	direct_cDNA	B1	1-2.5kb	38	0.503524	5720
ONT	direct_cDNA	B1	1-2.5kb	39	0.505329	5720
ONT	direct_cDNA	B1	1-2.5kb	40	0.506647	5720
ONT	direct_cDNA	B1	1-2.5kb	41	0.508035	5720
ONT	direct_cDNA	B1	1-2.5kb	42	0.5101	5720
ONT	direct_cDNA	B1	1-2.5kb	43	0.511799	5720
ONT	direct_cDNA	B1	1-2.5kb	44	0.513739	5720
ONT	direct_cDNA	B1	1-2.5kb	45	0.515632	5720
ONT	direct_cDNA	B1	1-2.5kb	46	0.517942	5720
ONT	direct_cDNA	B1	1-2.5kb	47	0.520344	5720
ONT	direct_cDNA	B1	1-2.5kb	48	0.522229	5720
ONT	direct_cDNA	B1	1-2.5kb	49	0.5243	5720
ONT	direct_cDNA	B1	1-2.5kb	50	0.526873	5720
ONT	direct_cDNA	B1	1-2.5kb	51	0.528782	5720
ONT	direct_cDNA	B1	1-2.5kb	52	0.530908	5720
ONT	direct_cDNA	B1	1-2.5kb	53	0.533616	5720
ONT	direct_cDNA	B1	1-2.5kb	54	0.53625	5720
ONT	direct_cDNA	B1	1-2.5kb	55	0.537226	5720
ONT	direct_cDNA	B1	1-2.5kb	56	0.539943	5720
ONT	direct_cDNA	B1	1-2.5kb	57	0.542159	5720
ONT	direct_cDNA	B1	1-2.5kb	58	0.544955	5720
ONT	direct_cDNA	B1	1-2.5kb	59	0.547234	5720
ONT	direct_cDNA	B1	1-2.5kb	60	0.548869	5720
ONT	direct_cDNA	B1	1-2.5kb	61	0.550966	5720
ONT	direct_cDNA	B1	1-2.5kb	62	0.553752	5720
ONT	direct_cDNA	B1	1-2.5kb	63	0.557064	5720
ONT	direct_cDNA	B1	1-2.5kb	64	0.559929	5720
ONT	direct_cDNA	B1	1-2.5kb	65	0.562268	5720
ONT	direct_cDNA	B1	1-2.5kb	66	0.564856	5720
ONT	direct_cDNA	B1	1-2.5kb	67	0.567839	5720
ONT	direct_cDNA	B1	1-2.5kb	68	0.570604	5720
ONT	direct_cDNA	B1	1-2.5kb	69	0.573539	5720
ONT	direct_cDNA	B1	1-2.5kb	70	0.576845	5720
ONT	direct_cDNA	B1	1-2.5kb	71	0.580658	5720
ONT	direct_cDNA	B1	1-2.5kb	72	0.583636	5720
ONT	direct_cDNA	B1	1-2.5kb	73	0.586743	5720
ONT	direct_cDNA	B1	1-2.5kb	74	0.59125	5720
ONT	direct_cDNA	B1	1-2.5kb	75	0.593335	5720
ONT	direct_cDNA	B1	1-2.5kb	76	0.597011	5720
ONT	direct_cDNA	B1	1-2.5kb	77	0.599969	5720
ONT	direct_cDNA	B1	1-2.5kb	78	0.603235	5720
ONT	direct_cDNA	B1	1-2.5kb	79	0.607072	5720
ONT	direct_cDNA	B1	1-2.5kb	80	0.610079	5720
ONT	direct_cDNA	B1	1-2.5kb	81	0.611766	5720
ONT	direct_cDNA	B1	1-2.5kb	82	0.613905	5720
ONT	direct_cDNA	B1	1-2.5kb	83	0.615795	5720
ONT	direct_cDNA	B1	1-2.5kb	84	0.618235	5720
ONT	direct_cDNA	B1	1-2.5kb	85	0.62222	5720
ONT	direct_cDNA	B1	1-2.5kb	86	0.625775	5720
ONT	direct_cDNA	B1	1-2.5kb	87	0.628394	5720
ONT	direct_cDNA	B1	1-2.5kb	88	0.629224	5720
ONT	direct_cDNA	B1	1-2.5kb	89	0.630071	5720
ONT	direct_cDNA	B1	1-2.5kb	90	0.629406	5720
ONT	direct_cDNA	B1	1-2.5kb	91	0.627448	5720
ONT	direct_cDNA	B1	1-2.5kb	92	0.62748	5720
ONT	direct_cDNA	B1	1-2.5kb	93	0.625754	5720
ONT	direct_cDNA	B1	1-2.5kb	94	0.622049	5720
ONT	direct_cDNA	B1	1-2.5kb	95	0.617234	5720
ONT	direct_cDNA	B1	1-2.5kb	96	0.608482	5720
ONT	direct_cDNA	B1	1-2.5kb	97	0.596935	5720
ONT	direct_cDNA	B1	1-2.5kb	98	0.58134	5720
ONT	direct_cDNA	B1	1-2.5kb	99	0.551869	5720
ONT	direct_cDNA	B1	1-2.5kb	100	0.310571	5720
ONT	direct_cDNA	B1	0-1kb	0	0.15036	2329
ONT	direct_cDNA	B1	0-1kb	1	0.19262	2329
ONT	direct_cDNA	B1	0-1kb	2	0.227633	2329
ONT	direct_cDNA	B1	0-1kb	3	0.260494	2329
ONT	direct_cDNA	B1	0-1kb	4	0.287249	2329
ONT	direct_cDNA	B1	0-1kb	5	0.312746	2329
ONT	direct_cDNA	B1	0-1kb	6	0.335382	2329
ONT	direct_cDNA	B1	0-1kb	7	0.354391	2329
ONT	direct_cDNA	B1	0-1kb	8	0.371832	2329
ONT	direct_cDNA	B1	0-1kb	9	0.388592	2329
ONT	direct_cDNA	B1	0-1kb	10	0.402181	2329
ONT	direct_cDNA	B1	0-1kb	11	0.414323	2329
ONT	direct_cDNA	B1	0-1kb	12	0.427274	2329
ONT	direct_cDNA	B1	0-1kb	13	0.438632	2329
ONT	direct_cDNA	B1	0-1kb	14	0.449955	2329
ONT	direct_cDNA	B1	0-1kb	15	0.461283	2329
ONT	direct_cDNA	B1	0-1kb	16	0.470601	2329
ONT	direct_cDNA	B1	0-1kb	17	0.479757	2329
ONT	direct_cDNA	B1	0-1kb	18	0.488553	2329
ONT	direct_cDNA	B1	0-1kb	19	0.496506	2329
ONT	direct_cDNA	B1	0-1kb	20	0.504002	2329
ONT	direct_cDNA	B1	0-1kb	21	0.513728	2329
ONT	direct_cDNA	B1	0-1kb	22	0.522012	2329
ONT	direct_cDNA	B1	0-1kb	23	0.529392	2329
ONT	direct_cDNA	B1	0-1kb	24	0.538017	2329
ONT	direct_cDNA	B1	0-1kb	25	0.545684	2329
ONT	direct_cDNA	B1	0-1kb	26	0.552187	2329
ONT	direct_cDNA	B1	0-1kb	27	0.559121	2329
ONT	direct_cDNA	B1	0-1kb	28	0.56615	2329
ONT	direct_cDNA	B1	0-1kb	29	0.572927	2329
ONT	direct_cDNA	B1	0-1kb	30	0.578766	2329
ONT	direct_cDNA	B1	0-1kb	31	0.584573	2329
ONT	direct_cDNA	B1	0-1kb	32	0.590663	2329
ONT	direct_cDNA	B1	0-1kb	33	0.596715	2329
ONT	direct_cDNA	B1	0-1kb	34	0.602051	2329
ONT	direct_cDNA	B1	0-1kb	35	0.608456	2329
ONT	direct_cDNA	B1	0-1kb	36	0.614547	2329
ONT	direct_cDNA	B1	0-1kb	37	0.620322	2329
ONT	direct_cDNA	B1	0-1kb	38	0.626902	2329
ONT	direct_cDNA	B1	0-1kb	39	0.634053	2329
ONT	direct_cDNA	B1	0-1kb	40	0.639601	2329
ONT	direct_cDNA	B1	0-1kb	41	0.64605	2329
ONT	direct_cDNA	B1	0-1kb	42	0.651387	2329
ONT	direct_cDNA	B1	0-1kb	43	0.656323	2329
ONT	direct_cDNA	B1	0-1kb	44	0.661156	2329
ONT	direct_cDNA	B1	0-1kb	45	0.666187	2329
ONT	direct_cDNA	B1	0-1kb	46	0.671418	2329
ONT	direct_cDNA	B1	0-1kb	47	0.676588	2329
ONT	direct_cDNA	B1	0-1kb	48	0.682854	2329
ONT	direct_cDNA	B1	0-1kb	49	0.687112	2329
ONT	direct_cDNA	B1	0-1kb	50	0.693467	2329
ONT	direct_cDNA	B1	0-1kb	51	0.6999	2329
ONT	direct_cDNA	B1	0-1kb	52	0.70473	2329
ONT	direct_cDNA	B1	0-1kb	53	0.710274	2329
ONT	direct_cDNA	B1	0-1kb	54	0.716391	2329
ONT	direct_cDNA	B1	0-1kb	55	0.723019	2329
ONT	direct_cDNA	B1	0-1kb	56	0.728033	2329
ONT	direct_cDNA	B1	0-1kb	57	0.731034	2329
ONT	direct_cDNA	B1	0-1kb	58	0.735642	2329
ONT	direct_cDNA	B1	0-1kb	59	0.737477	2329
ONT	direct_cDNA	B1	0-1kb	60	0.743153	2329
ONT	direct_cDNA	B1	0-1kb	61	0.747645	2329
ONT	direct_cDNA	B1	0-1kb	62	0.752181	2329
ONT	direct_cDNA	B1	0-1kb	63	0.756421	2329
ONT	direct_cDNA	B1	0-1kb	64	0.760803	2329
ONT	direct_cDNA	B1	0-1kb	65	0.765423	2329
ONT	direct_cDNA	B1	0-1kb	66	0.770054	2329
ONT	direct_cDNA	B1	0-1kb	67	0.773788	2329
ONT	direct_cDNA	B1	0-1kb	68	0.776011	2329
ONT	direct_cDNA	B1	0-1kb	69	0.777275	2329
ONT	direct_cDNA	B1	0-1kb	70	0.779729	2329
ONT	direct_cDNA	B1	0-1kb	71	0.782734	2329
ONT	direct_cDNA	B1	0-1kb	72	0.784946	2329
ONT	direct_cDNA	B1	0-1kb	73	0.787534	2329
ONT	direct_cDNA	B1	0-1kb	74	0.790329	2329
ONT	direct_cDNA	B1	0-1kb	75	0.793037	2329
ONT	direct_cDNA	B1	0-1kb	76	0.796492	2329
ONT	direct_cDNA	B1	0-1kb	77	0.799026	2329
ONT	direct_cDNA	B1	0-1kb	78	0.800727	2329
ONT	direct_cDNA	B1	0-1kb	79	0.803698	2329
ONT	direct_cDNA	B1	0-1kb	80	0.804912	2329
ONT	direct_cDNA	B1	0-1kb	81	0.806678	2329
ONT	direct_cDNA	B1	0-1kb	82	0.805779	2329
ONT	direct_cDNA	B1	0-1kb	83	0.806172	2329
ONT	direct_cDNA	B1	0-1kb	84	0.805972	2329
ONT	direct_cDNA	B1	0-1kb	85	0.803315	2329
ONT	direct_cDNA	B1	0-1kb	86	0.801428	2329
ONT	direct_cDNA	B1	0-1kb	87	0.797424	2329
ONT	direct_cDNA	B1	0-1kb	88	0.792967	2329
ONT	direct_cDNA	B1	0-1kb	89	0.787646	2329
ONT	direct_cDNA	B1	0-1kb	90	0.784236	2329
ONT	direct_cDNA	B1	0-1kb	91	0.778978	2329
ONT	direct_cDNA	B1	0-1kb	92	0.773023	2329
ONT	direct_cDNA	B1	0-1kb	93	0.766305	2329
ONT	direct_cDNA	B1	0-1kb	94	0.758458	2329
ONT	direct_cDNA	B1	0-1kb	95	0.746134	2329
ONT	direct_cDNA	B1	0-1kb	96	0.730254	2329
ONT	direct_cDNA	B1	0-1kb	97	0.714463	2329
ONT	direct_cDNA	B1	0-1kb	98	0.690559	2329
