control	depth	Sequence_Identity	Algorithm	False_Point	True_Point	Spiked_Number	minimum_read_support	FDR	Precision	Recall	F1	Sensitivity
positive	100GB	95%	FusionSeeker	1	0	400	2145	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	1	0	400	2044	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	1	0	400	2044	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	1	0	400	2018	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	1	0	400	2018	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	1	0	400	2018	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	1	0	400	1657	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	1	0	400	1657	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	1	0	400	1657	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	1	0	400	1657	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	1	0	400	1630	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	1	0	400	1630	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	1	0	400	1630	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	1	0	400	1630	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	1	0	400	1630	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	1	0	400	773	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	1	0	400	773	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	1	0	400	773	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	1	0	400	773	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	1	0	400	773	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	1	0	400	773	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	704	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	1	0	400	704	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	1	0	400	704	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	1	0	400	704	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	1	0	400	704	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	1	0	400	704	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	1	0	400	704	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	479	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	1	0	400	479	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	1	0	400	479	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	1	0	400	479	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	479	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	1	0	400	479	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	1	0	400	479	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	1	0	400	479	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	474	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	1	0	400	474	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	1	0	400	474	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	1	0	400	474	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	474	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	1	0	400	474	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	474	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	1	0	400	474	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	1	0	400	474	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	450	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	1	0	400	450	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	450	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	1	0	400	450	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	1	0	400	450	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	450	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	1	0	400	450	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	450	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	1	0	400	450	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	1	0	400	450	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	439	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	1	0	400	439	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	439	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	1	0	400	439	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	2	0	400	439	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	439	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	1	0	400	439	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	439	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	1	0	400	439	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	1	0	400	439	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	431	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	1	0	400	431	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	431	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	2	0	400	431	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	2	0	400	431	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	431	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	1	0	400	431	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	431	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	1	0	400	431	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	1	0	400	431	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	411	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	1	0	400	411	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	411	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	2	0	400	411	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	2	0	400	411	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	411	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	1	0	400	411	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	411	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	2	0	400	411	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	1	0	400	411	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	370	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	1	0	400	370	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	370	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	2	0	400	370	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	2	0	400	370	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	370	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	1	0	400	370	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	370	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	2	0	400	370	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	2	0	400	370	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	352	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	1	0	400	352	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	352	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	2	0	400	352	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	2	0	400	352	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	352	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	1	0	400	352	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	352	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	2	0	400	352	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	3	0	400	352	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	332	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	1	0	400	332	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	332	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	2	0	400	332	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	3	0	400	332	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	332	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	1	0	400	332	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	332	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	2	0	400	332	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	4	0	400	332	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	323	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	1	0	400	323	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	323	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	2	0	400	323	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	3	0	400	323	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	323	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	323	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	323	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	2	0	400	323	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	4	0	400	323	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	315	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	2	0	400	315	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	315	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	2	0	400	315	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	3	0	400	315	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	315	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	315	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	315	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	2	0	400	315	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	4	0	400	315	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	306	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	2	0	400	306	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	306	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	2	0	400	306	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	3	0	400	306	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	306	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	306	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	306	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	2	0	400	306	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	5	0	400	306	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	302	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	2	0	400	302	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	302	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	2	0	400	302	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	3	0	400	302	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	302	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	302	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	302	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	2	0	400	302	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	302	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	5	0	400	302	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	300	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	2	0	400	300	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	300	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	2	0	400	300	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	3	0	400	300	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	300	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	300	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	300	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	2	0	400	300	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	300	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	6	0	400	300	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	296	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	2	0	400	296	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	296	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	3	0	400	296	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	3	0	400	296	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	296	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	296	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	296	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	2	0	400	296	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	296	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	6	0	400	296	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	287	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	2	0	400	287	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	287	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	3	0	400	287	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	3	0	400	287	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	287	1	0	0	NA	0
