library_type	Platform	RNA_sample	Algorithm	Gene	degree
PCR_cDNA	Illumina	B1	Arriba	ENSG00000001629	3
PCR_cDNA	Illumina	B1	Arriba	ENSG00000002079	2
PCR_cDNA	Illumina	B1	Arriba	ENSG00000007062	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000010626	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000025293	2
PCR_cDNA	Illumina	B1	Arriba	ENSG00000071462	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000075151	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000075420	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000075651	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000076650	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000078142	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000078246	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000081051	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000084093	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000084674	9
PCR_cDNA	Illumina	B1	Arriba	ENSG00000086200	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000089169	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000090905	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000092108	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000097007	2
PCR_cDNA	Illumina	B1	Arriba	ENSG00000101384	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000101443	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000102313	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000103037	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000104723	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000104731	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000108306	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000109189	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000109339	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000111679	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000113356	2
PCR_cDNA	Illumina	B1	Arriba	ENSG00000113448	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000114698	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000115758	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000116044	3
PCR_cDNA	Illumina	B1	Arriba	ENSG00000118705	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000118961	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000122035	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000122733	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000122965	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000124422	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000124664	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000126653	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000130119	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000130811	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000131558	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000131941	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000132676	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000133318	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000135164	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000135185	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000137055	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000138035	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000138942	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000140263	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000141441	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000145012	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000145041	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000145216	2
PCR_cDNA	Illumina	B1	Arriba	ENSG00000148942	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000149474	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000150394	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000152443	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000152952	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000153561	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000153774	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000155093	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000156256	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000156976	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000159459	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000159720	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000163453	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000166794	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000167014	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000168785	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000169139	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000169550	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000169710	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000169762	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000171488	2
PCR_cDNA	Illumina	B1	Arriba	ENSG00000171606	2
PCR_cDNA	Illumina	B1	Arriba	ENSG00000172264	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000172687	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000172890	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000173020	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000173230	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000174173	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000175115	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000176155	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000176428	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000177425	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000178074	2
PCR_cDNA	Illumina	B1	Arriba	ENSG00000181291	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000182481	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000183963	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000184110	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000185261	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000185565	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000186184	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000186704	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000196419	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000196636	2
PCR_cDNA	Illumina	B1	Arriba	ENSG00000196821	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000198074	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000198363	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000198785	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000198862	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000203546	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000206052	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000227953	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000230735	2
PCR_cDNA	Illumina	B1	Arriba	ENSG00000233896	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000234238	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000234663	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000234741	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000236562	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000237689	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000239672	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000241135	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000241685	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000243629	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000243678	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000245067	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000249413	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000250365	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000251321	2
PCR_cDNA	Illumina	B1	Arriba	ENSG00000251322	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000258048	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000265479	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000265643	1
PCR_cDNA	Illumina	B1	Arriba	ENSG00000271949	2
