library_type	Platform	RNA_sample	Algorithm	n_genes	n_pairs	mean_partners	median_partners	max_partners	prop_ge2	prop_ge3	prop_ge5	top1_share	top5_share	top10_share	prep
PCR_cDNA	Illumina	B1	Arriba	138.0	81.0	1.174	1.0	9.0	0.1087	0.0217	0.0072	0.0556	0.1173	0.179	Illumina PCR cDNA
PCR_cDNA	Illumina	B1	JAFFA-direct	14458.0	563506.0	77.951	13.0	9310.0	0.853	0.7829	0.6937	0.0083	0.0329	0.0546	Illumina PCR cDNA
PCR_cDNA	Illumina	B1	STAR-Fusion	39.0	20.0	1.026	1.0	2.0	0.0256	0.0	0.0	0.05	0.15	0.275	Illumina PCR cDNA
PCR_cDNA	Illumina	B2	Arriba	171.0	103.0	1.205	1.0	12.0	0.1228	0.0175	0.0058	0.0583	0.1165	0.165	Illumina PCR cDNA
PCR_cDNA	Illumina	B2	JAFFA-direct	15091.0	686304.0	90.955	16.0	10109.0	0.8575	0.7893	0.7096	0.0074	0.0308	0.0493	Illumina PCR cDNA
PCR_cDNA	Illumina	B2	STAR-Fusion	46.0	25.0	1.087	1.0	3.0	0.0652	0.0217	0.0	0.06	0.18	0.28	Illumina PCR cDNA
PCR_cDNA	ONT	B1	CTAT-LR-Fusion	211.0	151.0	1.431	1.0	7.0	0.1848	0.1185	0.0379	0.0232	0.0993	0.1755	ONT PCR cDNA
PCR_cDNA	ONT	B1	FusionSeeker	5484.0	141274.0	51.522	4.0	3465.0	0.6916	0.5755	0.4613	0.0123	0.0384	0.0661	ONT PCR cDNA
PCR_cDNA	ONT	B1	GFSeeker	1817.0	1634.0	1.799	1.0	144.0	0.2834	0.1282	0.0462	0.0441	0.1056	0.1273	ONT PCR cDNA
PCR_cDNA	ONT	B1	Genion	690.0	424.0	1.229	1.0	18.0	0.1275	0.0333	0.0087	0.0212	0.066	0.0908	ONT PCR cDNA
PCR_cDNA	ONT	B1	JAFFAL	1424.0	1008.0	1.416	1.0	20.0	0.2135	0.0787	0.0183	0.0099	0.0441	0.068	ONT PCR cDNA
PCR_cDNA	ONT	B1	LongGF	864.0	500.0	1.157	1.0	2.0	0.1574	0.0	0.0	0.002	0.01	0.02	ONT PCR cDNA
PCR_cDNA	ONT	B2	CTAT-LR-Fusion	605.0	468.0	1.547	1.0	9.0	0.238	0.1207	0.0463	0.0096	0.0438	0.0812	ONT PCR cDNA
PCR_cDNA	ONT	B2	FusionSeeker	3434.0	29000.0	16.89	2.0	907.0	0.5128	0.3856	0.2807	0.0156	0.0594	0.1029	ONT PCR cDNA
PCR_cDNA	ONT	B2	GFSeeker	1985.0	1948.0	1.963	1.0	263.0	0.2997	0.1385	0.0539	0.0675	0.1201	0.1476	ONT PCR cDNA
PCR_cDNA	ONT	B2	Genion	645.0	373.0	1.157	1.0	8.0	0.0946	0.0279	0.0078	0.0107	0.0483	0.0697	ONT PCR cDNA
PCR_cDNA	ONT	B2	JAFFAL	1514.0	1101.0	1.454	1.0	40.0	0.2166	0.0786	0.0251	0.0182	0.0504	0.0736	ONT PCR cDNA
