control	depth	Sequence_Identity	Algorithm	False_Point	True_Point	Spiked_Number	FDR	Precision	Recall	F1	Sensitivity	minimum_read_support
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	764
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	763
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	762
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	761
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	760
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	759
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	758
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	757
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	756
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	755
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	754
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	753
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	752
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	751
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	750
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	749
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	748
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	747
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	746
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	745
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	744
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	743
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	742
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	741
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	740
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	739
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	738
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	737
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	736
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	735
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	734
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	733
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	732
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	731
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	730
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	729
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	728
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	727
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	726
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	725
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	724
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	723
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	722
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	721
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	720
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	719
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	718
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	717
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	716
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	715
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	714
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	713
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	712
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	711
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	710
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	709
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	708
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	707
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	706
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	705
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	704
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	703
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	702
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	701
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	700
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	699
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	698
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	697
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	696
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	695
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	694
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	693
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	692
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	691
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	690
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	689
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	688
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	687
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	686
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	685
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	684
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	683
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	682
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	681
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	680
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	679
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	678
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	677
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	676
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	675
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	675
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	674
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	674
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	673
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	673
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	672
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	672
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	671
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	671
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	670
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	670
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	669
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	669
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	668
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	668
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	667
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	667
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	666
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	666
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	665
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	665
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	664
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	664
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	663
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	663
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	662
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	662
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	661
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	661
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	660
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	660
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	659
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	659
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	658
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	658
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	657
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	657
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	656
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	656
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	655
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	655
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	654
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	654
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	653
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	653
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	652
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	652
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	651
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	651
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	650
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	650
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	649
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	649
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	648
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	648
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	647
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	647
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	646
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	646
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	645
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	645
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	644
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	644
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	643
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	643
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	642
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	642
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	641
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	641
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	640
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	640
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	639
