control	depth	Sequence_Identity	Algorithm	False_Point	True_Point	Spiked_Number	FDR	Precision	Recall	F1	Sensitivity
positive	100GB	85%	CTAT-LR-Fusion	72	54	400	0.5714285714285714	0.42857142857142855	0.135	0.2053231939163498	0.135
positive	100GB	85%	FusionSeeker	942	71	400	0.9299111549851925	0.0700888450148075	0.1775	0.10049539985845718	0.1775
positive	100GB	85%	GFSeeker	514	27	400	0.9500924214417745	0.04990757855822551	0.0675	0.057385759829968123	0.0675
positive	100GB	85%	Genion	196	46	400	0.8099173553719008	0.19008264462809918	0.115	0.14330218068535827	0.115
positive	100GB	85%	JAFFAL	111	70	400	0.6132596685082873	0.3867403314917127	0.175	0.24096385542168675	0.175
positive	100GB	85%	LongGF	88	10	400	0.8979591836734694	0.10204081632653061	0.025	0.04016064257028113	0.025
positive	100GB	90%	CTAT-LR-Fusion	109	87	400	0.5561224489795918	0.44387755102040816	0.2175	0.2919463087248322	0.2175
positive	100GB	90%	FusionSeeker	822	76	400	0.9153674832962138	0.08463251670378619	0.19	0.11710323574730354	0.19
positive	100GB	90%	GFSeeker	749	38	400	0.951715374841169	0.048284625158831	0.095	0.06402695871946082	0.095
positive	100GB	90%	Genion	225	58	400	0.7950530035335689	0.2049469964664311	0.145	0.16983894582723277	0.145
positive	100GB	90%	JAFFAL	165	82	400	0.6680161943319838	0.3319838056680162	0.205	0.2534775888717156	0.205
positive	100GB	90%	LongGF	100	11	400	0.9009009009009009	0.0990990990990991	0.0275	0.043052837573385516	0.0275
positive	100GB	95%	CTAT-LR-Fusion	134	113	400	0.5425101214574899	0.4574898785425101	0.2825	0.34930448222565685	0.2825
positive	100GB	95%	FusionSeeker	704	80	400	0.8979591836734694	0.10204081632653061	0.2	0.13513513513513514	0.2
positive	100GB	95%	GFSeeker	767	42	400	0.9480840543881335	0.0519159456118665	0.105	0.06947890818858561	0.105
positive	100GB	95%	Genion	202	67	400	0.7509293680297398	0.24907063197026022	0.1675	0.20029895366218237	0.1675
positive	100GB	95%	JAFFAL	182	99	400	0.6476868327402135	0.35231316725978645	0.2475	0.2907488986784141	0.2475
positive	100GB	95%	LongGF	106	11	400	0.905982905982906	0.09401709401709402	0.0275	0.0425531914893617	0.0275
positive	10GB	85%	CTAT-LR-Fusion	51	34	397	0.6	0.4	0.08564231738035265	0.14107883817427386	0.08564231738035265
positive	10GB	85%	FusionSeeker	235	33	397	0.8768656716417911	0.12313432835820895	0.08312342569269521	0.09924812030075188	0.08312342569269521
positive	10GB	85%	GFSeeker	67	15	397	0.8170731707317073	0.18292682926829268	0.037783375314861464	0.06263048016701461	0.037783375314861464
positive	10GB	85%	Genion	9	2	397	0.8181818181818182	0.18181818181818182	0.005037783375314861	0.00980392156862745	0.005037783375314861
positive	10GB	85%	JAFFAL	27	17	397	0.6136363636363636	0.38636363636363635	0.042821158690176324	0.07709750566893424	0.042821158690176324
positive	10GB	85%	LongGF	30	4	397	0.8823529411764706	0.11764705882352941	0.010075566750629723	0.0185614849187935	0.010075566750629723
positive	10GB	90%	CTAT-LR-Fusion	70	76	400	0.4794520547945205	0.5205479452054794	0.19	0.2783882783882784	0.19
positive	10GB	90%	FusionSeeker	310	51	400	0.8587257617728532	0.14127423822714683	0.1275	0.1340341655716163	0.1275
positive	10GB	90%	GFSeeker	78	30	400	0.7222222222222222	0.2777777777777778	0.075	0.11811023622047243	0.075
positive	10GB	90%	Genion	8	4	400	0.6666666666666666	0.3333333333333333	0.01	0.019417475728155338	0.01
positive	10GB	90%	JAFFAL	57	37	400	0.6063829787234043	0.39361702127659576	0.0925	0.14979757085020243	0.0925
positive	10GB	90%	LongGF	51	9	400	0.85	0.15	0.0225	0.0391304347826087	0.0225
positive	10GB	95%	CTAT-LR-Fusion	98	90	400	0.5212765957446809	0.4787234042553192	0.225	0.30612244897959184	0.225
positive	10GB	95%	FusionSeeker	335	58	400	0.8524173027989822	0.1475826972010178	0.145	0.14627994955863804	0.145
positive	10GB	95%	GFSeeker	114	26	400	0.8142857142857143	0.18571428571428572	0.065	0.0962962962962963	0.065
positive	10GB	95%	Genion	7	5	400	0.5833333333333334	0.4166666666666667	0.0125	0.024271844660194174	0.0125
positive	10GB	95%	JAFFAL	87	57	400	0.6041666666666666	0.3958333333333333	0.1425	0.20955882352941174	0.1425
positive	10GB	95%	LongGF	48	10	400	0.8275862068965517	0.1724137931034483	0.025	0.04366812227074236	0.025
positive	1GB	85%	CTAT-LR-Fusion	2	0	187	1	0	0	NA	0
positive	1GB	85%	FusionSeeker	10	1	187	0.9090909090909091	0.09090909090909091	0.0053475935828877	0.010101010101010102	0.0053475935828877
positive	1GB	85%	GFSeeker	4	1	187	0.8	0.2	0.0053475935828877	0.010416666666666666	0.0053475935828877
positive	1GB	85%	Genion	1	0	187	1	0	0	NA	0
positive	1GB	90%	CTAT-LR-Fusion	1	0	202	1	0	0	NA	0
positive	1GB	90%	FusionSeeker	17	0	202	1	0	0	NA	0
positive	1GB	90%	GFSeeker	3	1	202	0.75	0.25	0.0049504950495049506	0.009708737864077669	0.0049504950495049506
positive	1GB	90%	JAFFAL	2	1	202	0.6666666666666666	0.3333333333333333	0.0049504950495049506	0.00975609756097561	0.0049504950495049506
positive	1GB	90%	LongGF	1	0	202	1	0	0	NA	0
positive	1GB	95%	CTAT-LR-Fusion	3	2	208	0.6	0.4	0.009615384615384616	0.018779342723004695	0.009615384615384616
positive	1GB	95%	FusionSeeker	19	2	208	0.9047619047619048	0.09523809523809523	0.009615384615384616	0.017467248908296946	0.009615384615384616
positive	1GB	95%	GFSeeker	4	0	208	1	0	0	NA	0
positive	1GB	95%	JAFFAL	3	4	208	0.42857142857142855	0.5714285714285714	0.019230769230769232	0.037209302325581395	0.019230769230769232
positive	1GB	95%	LongGF	1	0	208	1	0	0	NA	0
