Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
AAK1--ANXA4,ANXA4,AAK1,PR-6SAwzH,4,1463,0.07282374035001238,1,2,1,+/+,-/+,.
ARSB--SCAMP1,SCAMP1,ARSB,PR-6SAwzH,3,535,0.054617805262509284,0,2,1,+/+,-/-,out-of-frame
ATP10D--EXOC4,EXOC4,ATP10D,PR-6SAwzH,5,141,0.09102967543751547,1,4,0,+/+,+/+,.
AUH--C9orf129,AUH,FAM120A2P,PR-6SAwzH,7,21,0.12744154561252166,4,1,2,-/-,-/-,.
AUH--WNK2,AUH,WNK2,PR-6SAwzH,8,21,0.14564748070002476,4,0,4,-/-,+/-,out-of-frame
BHLHE40-AS1--ITPR1,ITPR1,BHLHE40-AS1,PR-6SAwzH,4,21,0.07282374035001238,1,1,2,+/+,-/+,out-of-frame
C16orf70--CBFB,PHAF1,CBFB,PR-6SAwzH,18,865,0.3277068315750557,0,1,17,+/+,+/+,in-frame
C16orf70--CBFB,PHAF1,CBFB,PR-6SAwzH,97,884,1.7659757034878,27,40,30,+/+,+/+,out-of-frame
CASS4--TMEM120B,TMEM120B,CASS4,PR-6SAwzH,2,86,0.03641187017500619,1,0,1,+/+,+/+,in-frame
CASS4--TMEM120B,TMEM120B,CASS4,PR-6SAwzH,8,86,0.14564748070002476,1,4,3,+/+,+/+,out-of-frame
CDK13--LINC00265,CDK13,LINC00265,PR-6SAwzH,22,298,0.4005305719250681,3,2,17,+/+,+/+,out-of-frame
CLASP2--SUSD5,CLASP2,SUSD5,PR-6SAwzH,4,45,0.07282374035001238,1,1,2,-/-,-/-,out-of-frame
CLIP4--SRBD1,SRBD1,CLIP4,PR-6SAwzH,6,79,0.10923561052501857,1,3,2,-/-,+/-,out-of-frame
CPT1A--TESMIN,TESMIN,CPT1A,PR-6SAwzH,7,1277,0.12744154561252166,3,2,2,-/-,-/-,in-frame
CPT1A--TESMIN,TESMIN,CPT1A,PR-6SAwzH,5,900,0.09102967543751547,0,1,4,-/-,-/-,out-of-frame
DDX11--DDX11,DDX11,DDX11,PR-6SAwzH,31,646,0.5643839877125959,19,12,0,+/+,+/+,in-frame
DEPDC1B--PDE4D,DEPDC1B,PDE4D,PR-6SAwzH,9,142,0.16385341578752785,2,1,6,-/-,-/-,out-of-frame
EIF3E--EMC2,EIF3E,EMC2,PR-6SAwzH,2,1503,0.03641187017500619,0,1,1,-/-,+/+,in-frame
FGF19--SHANK2,FGF19,SHANK2,PR-6SAwzH,3,757,0.054617805262509284,1,0,2,-/-,-/+,.
FRG1EP--PIGL,FRG1EP,PIGL,PR-6SAwzH,3,144,0.054617805262509284,2,0,1,-/-,+/+,.
GPAM--VTI1A,GPAM,VTI1A,PR-6SAwzH,24,123,0.43694244210007427,9,4,11,-/-,+/-,.
GTF2H5--TULP4,TULP4,GTF2H5,PR-6SAwzH,3,1616,0.054617805262509284,1,1,1,+/+,+/+,out-of-frame
KCTD5--PDPK1,KCTD5,PDPK1,PR-6SAwzH,16,343,0.2912949614000495,2,0,14,+/+,+/-,out-of-frame
LINC01508--RAPGEF1,RAPGEF1,LINC01508,PR-6SAwzH,68,343,1.2380035859502105,25,23,20,-/-,-/+,out-of-frame
MID1--RP11-120D5.1,HCCS-DT,MID1,PR-6SAwzH,10,177,0.18205935087503095,2,0,8,-/-,-/-,.
MYO6--SENP6,SENP6,MYO6,PR-6SAwzH,65,225,1.183385780687701,26,16,23,+/+,+/+,out-of-frame
PDE3A--SLCO1C1,PDE3A,SLCO1C1,PR-6SAwzH,31,64,0.5643839877125959,16,11,4,+/+,+/+,in-frame
RC3H1--SERPINC1,RC3H1,SERPINC1,PR-6SAwzH,35,442,0.6372077280626083,4,9,22,-/-,-/-,out-of-frame
SASH1--TRDN,SASH1,TRDN,PR-6SAwzH,14,84,0.2548830912250433,2,8,4,+/+,-/-,out-of-frame
SHCBP1--SHCBP1,SHCBP1,SHCBP1,PR-6SAwzH,3,210,0.054617805262509284,1,1,1,-/-,-/+,out-of-frame
SLC25A21--TTC6,SLC25A21,TTC6,PR-6SAwzH,3,42,0.054617805262509284,0,2,1,-/-,+/+,out-of-frame
SLC35D2--ZNF367,ZNF367,SLC35D2,PR-6SAwzH,19,330,0.3459127666625588,1,16,2,-/-,-/-,out-of-frame
