Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
ACIN1--ACIN1,ACIN1,ACIN1,PR-y5SNaW,91,623,1.3496875317630792,30,61,0,-/-,-/-,in-frame
ADGRG6--VTA1,ADGRG6,VTA1,PR-y5SNaW,5,3143,0.07415865559137798,1,1,3,+/+,+/+,in-frame
AGO2--TRAPPC9,AGO2,TRAPPC9,PR-y5SNaW,3,125,0.04449519335482679,0,3,0,-/-,-/-,out-of-frame
ARHGEF7--ING1,ARHGEF7,ING1,PR-y5SNaW,3,701,0.04449519335482679,2,1,0,+/+,+/+,.
ARMC6--SUGP2,SUGP2,ARMC6,PR-y5SNaW,176,1846,2.610384676816505,46,68,62,-/-,+/+,in-frame
ASPH--LINC02842,ASPH,LINC02842,PR-y5SNaW,5,2202,0.07415865559137798,0,4,1,-/-,+/-,out-of-frame
ATF1--LINC00592,ATF1,LINC00592,PR-y5SNaW,10,274,0.14831731118275596,7,1,2,+/+,+/+,out-of-frame
ATG4A--MORC4,ATG4A,MORC4,PR-y5SNaW,5,191,0.07415865559137798,1,3,1,+/+,-/-,out-of-frame
ATG4A--TBC1D8B,ATG4A,TBC1D8B,PR-y5SNaW,3,95,0.04449519335482679,1,1,1,+/+,+/-,out-of-frame
B2M--MTCO1P40,MTCO1P40,B2M,PR-y5SNaW,6,7563,0.08899038670965358,0,5,1,+/-,+/+,.
BAGE2--FAM230C,BAGE2,FAM230C,PR-y5SNaW,3,157,0.04449519335482679,1,1,1,+/+,+/+,.
BOLA2B--SMG1P5,BOLA2B,SMG1P5,PR-y5SNaW,4,865,0.05932692447310238,0,1,3,-/-,-/-,out-of-frame
C2CD4B--USP3,USP3,C2CD4B,PR-y5SNaW,9,300,0.13348558006448036,8,1,0,+/+,-/+,out-of-frame
COX7A1--ZNF529-AS1,COX7A1,ZNF529-AS1,PR-y5SNaW,4,27,0.05932692447310238,2,0,2,-/+,+/+,.
CPS1--LANCL1,CPS1,LANCL1,PR-y5SNaW,43,5747,0.6377644380858506,11,14,18,+/+,-/+,out-of-frame
CPS1--LANCL1-AS1,CPS1,LANCL1-AS1,PR-y5SNaW,104,34604,1.542500036300662,18,17,69,+/+,+/+,out-of-frame
DDA1--MYO9B,DDA1,MYO9B,PR-y5SNaW,3,1501,0.04449519335482679,1,2,0,+/+,+/+,out-of-frame
DNLZ--DNLZ,DNLZ,DNLZ,PR-y5SNaW,20,74,0.2966346223655119,3,17,0,-/-,-/-,in-frame
GATAD2A--ZNF675,GATAD2A,ZNF675,PR-y5SNaW,305,1112,4.523677991074057,44,183,78,+/+,-/+,.
GCC2-AS1--RGPD3,GCC2-AS1,RGPD3,PR-y5SNaW,2,43,0.02966346223655119,1,1,0,-/-,-/+,.
GNAS--RNU2-1,RNU2-1,GNAS,PR-y5SNaW,3,6287,0.04449519335482679,0,2,1,-/-,+/+,.
HNF1A-AS1--POP5,HNF1A-AS1,POP5,PR-y5SNaW,55,2418,0.8157452115051578,13,6,36,-/-,-/-,.
IGF2BP2--POLR2J3,POLR2J3,IGF2BP2,PR-y5SNaW,11,2469,0.16314904230103155,2,3,6,-/-,-/-,stop-codon
KIF20B--KIF20B,KIF20B,KIF20B,PR-y5SNaW,23,105,0.3411298157203387,10,13,0,+/+,+/+,in-frame
KIF27--LRCH3,LRCH3,KIF27,PR-y5SNaW,4,12,0.05932692447310238,1,1,2,+/+,-/+,.
LINC01138--LINC01731,LINC01138,LINC01731,PR-y5SNaW,20,82,0.2966346223655119,13,5,2,-/+,-/-,.
LRRC28--MEF2A,MEF2A,LRRC28,PR-y5SNaW,3,423,0.04449519335482679,0,1,2,+/+,+/+,.
MIDEAS--TMED10,TMED10,MIDEAS,PR-y5SNaW,3,2982,0.04449519335482679,2,0,1,-/-,-/-,out-of-frame
MOSPD2--PIR,MOSPD2,PIR,PR-y5SNaW,3,1671,0.04449519335482679,0,2,1,+/+,-/-,in-frame
RAD18--SRGAP3,RAD18,SRGAP3,PR-y5SNaW,6,87,0.08899038670965358,4,0,2,-/-,-/-,out-of-frame
RBPMS--RBPMS,RBPMS,RBPMS,PR-y5SNaW,126,2571,1.868798120902725,56,60,10,+/+,+/+,.
SLC25A5--SLC25A6,SLC25A6,SLC25A5,PR-y5SNaW,3,12625,0.04449519335482679,0,2,1,-/-,+/+,in-frame
SMC4--TRIM59,SMC4,TRIM59,PR-y5SNaW,4,28,0.05932692447310238,3,0,1,+/.,-/.,.
SUGP2--SUGP2,SUGP2,SUGP2,PR-y5SNaW,16,320,0.23730769789240952,1,15,0,-/-,-/+,.
