Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
ACTN1--ACTN4,ACTN1,ACTN4,PR-ny3Y0P,2,11024,0.030365398992233138,0,1,1,-/-,+/+,in-frame
ACTN1--ACTN4,ACTN4,ACTN1,PR-ny3Y0P,2,9642,0.030365398992233138,1,0,1,+/+,-/-,in-frame
ADGRG5--PSME3IP1,PSME3IP1,ADGRG5,PR-ny3Y0P,10,641,0.1518269949611657,3,3,4,-/-,+/+,out-of-frame
AHNAK--AHNAK,AHNAK,AHNAK,PR-ny3Y0P,91,668,1.3816256541466079,29,62,0,-/-,-/-,in-frame
AOX1--KCTD18,AOX1,KCTD18,PR-ny3Y0P,12,131,0.18219239395339884,3,4,5,+/-,-/-,.
ARID4A--PSMA3,ARID4A,PSMA3,PR-ny3Y0P,15,1568,0.22774049244174854,4,5,6,+/+,+/+,in-frame
ARID4A--PSMA3,ARID4A,PSMA3,PR-ny3Y0P,29,1559,0.44029828538738053,7,6,16,+/+,+/+,out-of-frame
ATP6V0D1--KATNB1,KATNB1,ATP6V0D1,PR-ny3Y0P,9,607,0.1366442954650491,2,0,7,+/-,-/-,.
B2M--MTCO1P40,MTCO1P40,B2M,PR-ny3Y0P,7,4876,0.10627889647281598,0,6,1,+/-,+/+,.
CALM2--CALM3,CALM3,CALM2,PR-ny3Y0P,5,38160,0.07591349748058285,0,2,3,+/+,-/-,in-frame
CFL1--LDHA,CFL1,LDHA,PR-ny3Y0P,11,28035,0.16700969445728225,2,2,7,-/+,+/+,.
CNGB1--CPNE7,CPNE7,CNGB1,PR-ny3Y0P,10,396,0.1518269949611657,0,5,5,+/+,-/+,out-of-frame
FLNA--FLNC,FLNC,FLNA,PR-ny3Y0P,4,14354,0.060730797984466275,2,0,2,+/+,-/-,in-frame
GCC2--LINC01123,LINC01123,GCC2,PR-ny3Y0P,2,101,0.030365398992233138,1,1,0,+/+,+/+,.
GUSBP4--PTP4A1,GUSBP4,PTP4A1,PR-ny3Y0P,3,38,0.04554809848834971,3,0,0,-/-,+/+,.
KIF20B--KIF20B,KIF20B,KIF20B,PR-ny3Y0P,33,190,0.5010290833718468,16,17,0,+/+,+/+,in-frame
KIFC3--PSME3IP1,PSME3IP1,KIFC3,PR-ny3Y0P,3,624,0.04554809848834971,0,2,1,-/-,-/-,out-of-frame
KRT8--VIM,KRT8,VIM,PR-ny3Y0P,26,66499,0.3947501868990308,4,9,13,-/-,+/+,in-frame
KRT8--VIM,VIM,KRT8,PR-ny3Y0P,7,65459,0.10627889647281598,6,0,1,+/+,-/-,in-frame
PIEZO1--RSPRY1,RSPRY1,PIEZO1,PR-ny3Y0P,7,700,0.10627889647281598,1,1,5,+/+,-/-,.
PTP4A1--XXbac-BPGBPG55C20.4,LINC00680-GUSBP4,PTP4A1,PR-ny3Y0P,3,38,0.04554809848834971,3,0,0,-/-,+/+,.
RSPRY1--SPG7,RSPRY1,SPG7,PR-ny3Y0P,146,2987,2.216674126433019,23,24,99,+/+,+/+,.
SLC25A44--SSR2,SSR2,SLC25A44,PR-ny3Y0P,13,338,0.1973750934495154,3,5,5,-/-,+/-,.
SLC25A5--SLC25A6,SLC25A6,SLC25A5,PR-ny3Y0P,3,14913,0.04554809848834971,2,1,0,-/-,+/+,in-frame
