Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
CDX2--UBA6,UBA6,CDX2,PR-mOvL7b,7,34,0.1979317209645688,5,0,2,-/-,-/-,out-of-frame
DCTN1--SLC4A5,DCTN1,SLC4A5,PR-mOvL7b,13,75,0.36758748179134204,1,12,0,-/-,-/-,.
ENTPD4--PHLDB2,ENTPD4,PHLDB2,PR-mOvL7b,5,355,0.1413798006889777,1,3,1,-/-,+/+,.
ENTPD4--PLCXD2,ENTPD4,PLCXD2,PR-mOvL7b,2,355,0.05655192027559108,1,1,0,-/-,+/+,.
GNE--SIPA1,GNE,SIPA1,PR-mOvL7b,8,172,0.22620768110236433,3,2,3,-/-,+/+,in-frame
GNE--XRRA1,XRRA1,GNE,PR-mOvL7b,5,84,0.1413798006889777,2,3,0,-/-,-/-,stop-codon
LINC01138--LINC01731,LINC01138,LINC01731,PR-mOvL7b,9,19,0.2544836412401599,2,5,2,-/+,-/-,.
LOXL2--PHLDB2,LOXL2,PHLDB2,PR-mOvL7b,6,355,0.16965576082677325,2,3,1,-/-,+/+,.
LOXL2--PLCXD2,LOXL2,PLCXD2,PR-mOvL7b,3,355,0.08482788041338662,2,1,0,-/-,+/+,.
MRGPRF--MRGPRF,MRGPRF,MRGPRF,PR-mOvL7b,27,93,0.7634509237204796,17,7,3,-/-,-/+,.
OSBPL8--SYT1,SYT1,OSBPL8,PR-mOvL7b,7,166,0.1979317209645688,4,3,0,+/+,-/-,in-frame
PROSER1--PROSER1,PROSER1,PROSER1,PR-mOvL7b,53,151,1.4986258873031637,32,21,0,-/-,-/-,in-frame
SF3B2--SF3B2,SF3B2,SF3B2,PR-mOvL7b,218,2037,6.164159310039428,7,211,0,+/+,+/+,in-frame
