Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000483,SNU182,Hepatocellular Carcinoma,Primary
ACH-000686,SNU878,Hepatocellular Carcinoma,Primary
ACH-001089,HLE,Hepatocellular Carcinoma,Primary
ACH-003155,ABMT0789,Non-Cancerous,
ACH-000361,SKHEP1,Hepatocellular Carcinoma,Metastatic
ACH-001853,KMCH1,Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma,Primary
ACH-000671,HUH6,Hepatoblastoma,Primary
ACH-000420,SNU449,Hepatocellular Carcinoma,Primary
ACH-000316,SNU886,Hepatocellular Carcinoma,Primary
ACH-000422,SNU475,Hepatocellular Carcinoma,Primary
ACH-000393,HLF,Hepatocellular Carcinoma,Primary
ACH-000620,JHH1,Hepatocellular Carcinoma,Primary
ACH-000577,JHH2,Hepatocellular Carcinoma,Metastatic
ACH-000537,SNU761,Hepatocellular Carcinoma,Primary
ACH-000480,HUH7,Hepatocellular Carcinoma,Primary
ACH-000475,HUH1,Hepatocellular Carcinoma,Primary
ACH-001318,PLCPRF5,Hepatocellular Carcinoma,Primary
ACH-000217,JHH6,Hepatocellular Carcinoma,Primary
ACH-000625,HEP3B217,Hepatocellular Carcinoma,Primary
ACH-000221,SNU398,Hepatocellular Carcinoma,Primary
ACH-002523,SNU739,Hepatocellular Carcinoma,Primary
ACH-000848,JHH7,Hepatocellular Carcinoma,Primary
ACH-001021,C3A,Hepatoblastoma,Primary
ACH-000739,HEPG2,Hepatoblastoma,Primary
ACH-000734,JHH5,Hepatocellular Carcinoma,Primary
ACH-000478,SNU387,Hepatocellular Carcinoma,Primary
ACH-000493,SNU423,Hepatocellular Carcinoma,Primary
ACH-000471,LI7,Hepatocellular Carcinoma,Primary
ACH-000476,JHH4,Hepatocellular Carcinoma,Primary
