Known_Gene_Fusion,Gene1,Gene2,Sample,PMID_Reference,Validation,GENEID.x,v110_name.x,GENEID.y,v110_name.y
MAN2A1::FER,MAN2A1,FER,HUH7,PMID:38537933 ; PMID:31164957; PMID:28245430,TaqMan qRT-PCR and/or RT-PCR together with Sanger sequencing or functional assays,ENSG00000112893,MAN2A1,ENSG00000151422,FER
SLC45A2::AMACR,SLC45A2,AMACR,HUH7,PMID:38537933 ; PMID:31164958; PMID:34505419,TaqMan qRT-PCR and/or RT-PCR together with Sanger sequencing or functional assays,ENSG00000164175,SLC45A2,ENSG00000242110,AMACR
ZMPSTE24::ZMYM4,ZMPSTE24,ZMYM4,HCC,PMID:38537933,TaqMan qRT-PCR,ENSG00000084073,ZMPSTE24,ENSG00000146463,ZMYM4
PTEN::NOLC1,PTEN,NOLC1,HCC,PMID:38537933,TaqMan qRT-PCR,ENSG00000171862,PTEN,ENSG00000166197,NOLC1
CCNH::C5orf30,CCNH,C5orf30,HUH7,PMID:30705370; PMID:38537933 ; PMID:31164957,TaqMan qRT-PCR and/or RT-PCR together with Sanger sequencing or functional assays,ENSG00000134480,CCNH,ENSG00000181751,MACIR
NUP188::PHYHD1,NUP188,PHYHD1,HUH7,PMID:25485619,RNA sequencing,ENSG00000095319,NUP188,ENSG00000175287,PHYHD1
IPO11::KIAA0825,IPO11,KIAA0825,HUH7,PMID:25485619;PMID:31097696;PMID:39468210,RNA sequencing,ENSG00000086200,IPO11,ENSG00000185261,KIAA0825
ANKIB1::PTPRN2,ANKIB1,PTPRN2,HUH7,PMID:25485619,RNA sequencing,ENSG00000001629,ANKIB1,ENSG00000155093,PTPRN2
ANKIB1::DTX2P1-UPK3BP1-PMS2P11,ANKIB1,DTX2P1-UPK3BP1-PMS2P11,HUH7,PMID:31097696; PMID:39468210,RNA sequencing,ENSG00000001629,ANKIB1,ENSG00000265479,DTX2P1-UPK3BP1-PMS2P11
ATP6V0D1::RBM19,ATP6V0D1,RBM19,HUH7,PMID:31097696,RNA sequencing,ENSG00000159720,ATP6V0D1,ENSG00000122965,RBM19
DTX2P1-UPK3BP1-PMS2P11::ANKIB1,DTX2P1-UPK3BP1-PMS2P11,ANKIB1,HUH7,PMID:31097696,RNA sequencing,ENSG00000265479,DTX2P1-UPK3BP1-PMS2P11,ENSG00000001629,ANKIB1
GAREM1::SDHAF3,GAREM1,SDHAF3,HUH7,PMID:31097696;PMID:25485619,RNA sequencing,ENSG00000141441,GAREM1,ENSG00000196636,SDHAF3
PLOD2::PLSCR4,PLOD2,PLSCR4,HUH7,PMID:31097696;PMID:39468210,RNA sequencing,ENSG00000152952,PLOD2,ENSG00000114698,PLSCR4
RTN3::PACS1,RTN3,PACS1,HUH7,PMID:31097696;PMID:39468210,RNA sequencing,ENSG00000133318,RTN3,ENSG00000175115,PACS1
SORD::TERB2,SORD,TERB2,HUH7,PMID:31097696;PMID:39468210,RNA sequencing,ENSG00000140263,SORD,ENSG00000167014,TERB2
SCARB1::UBC,SCARB1,UBC,HUH7,PMID:31097696,RNA sequencing,ENSG00000073060,SCARB1,ENSG00000150991,UBC
UQCC1::GDF5-AS1,UQCC1,GDF5-AS1,HUH7,PMID:39468210,RNA sequencing,ENSG00000101019,UQCC1,ENSG00000204183,GDF5-AS1
XKR9::GNE,XKR9,GNE,HUH7,PMID:39468210,RNA sequencing,ENSG00000221947,XKR9,ENSG00000159921,GNE
GPATCH1::GNL3L,GPATCH1,GNL3L,HUH7,PMID:39468210,RNA sequencing,ENSG00000076650,GPATCH1,ENSG00000130119,GNL3L
SLC22A23::GSTA2,SLC22A23,GSTA2,HUH7,PMID:39468210,RNA sequencing,ENSG00000137266,SLC22A23,ENSG00000244067,GSTA2
IGFBP7::PCAT4,IGFBP7,PCAT4,HUH7,PMID:39468210,RNA sequencing,ENSG00000163453,IGFBP7,ENSG00000251321,PCAT4
IGFBP7-AS1::PCAT4,IGFBP7-AS1,PCAT4,HUH7,PMID:39468210,RNA sequencing,ENSG00000245067,IGFBP7-AS1,ENSG00000251321,PCAT4
KRT8::VIM,KRT8,VIM,HUH7,PMID:39468210,RNA sequencing,ENSG00000170421,KRT8,ENSG00000026025,VIM
SARAF::LEPROTL1,SARAF,LEPROTL1,HUH7,PMID:39468210,RNA sequencing,ENSG00000133872,SARAF,ENSG00000104660,LEPROTL1
PDE4DIPP2::LINC01145,PDE4DIPP2,LINC01145,HUH7,PMID:39468210,RNA sequencing,ENSG00000275131,PDE4DIPP2,ENSG00000272419,LINC01145
USP16::LTN1,USP16,LTN1,HUH7,PMID:39468210,RNA sequencing,ENSG00000156256,USP16,ENSG00000198862,LTN1
SLC5A12::MUC15,SLC5A12,MUC15,HUH7,PMID:39468210,RNA sequencing,ENSG00000148942,SLC5A12,ENSG00000169550,MUC15
SVEP1::MYLK,SVEP1,MYLK,HUH7,PMID:39468210,RNA sequencing,ENSG00000165124,SVEP1,ENSG00000065534,MYLK
NME2::NME1,NME2,NME1,HUH7,PMID:39468210,RNA sequencing,ENSG00000243678,NME2,ENSG00000239672,NME1
PHF20::POLR3G,PHF20,POLR3G,HUH7,PMID:39468210,RNA sequencing,ENSG00000025293,PHF20,ENSG00000113356,POLR3G
SDHAF3::PHF24,SDHAF3,PHF24,HUH7,PMID:39468210,RNA sequencing,ENSG00000196636,SDHAF3,ENSG00000122733,PHF24
RNF185::SMTN,RNF185,SMTN,HUH7,PMID:39468210,RNA sequencing,ENSG00000138942,RNF185,ENSG00000183963,SMTN
TBC1D22A::SHISAL1,TBC1D22A,SHISAL1,HUH7,PMID:39468210,RNA sequencing,ENSG00000054611,TBC1D22A,ENSG00000138944,SHISAL1
ZNF274::TMEM132E,ZNF274,TMEM132E,HUH7,PMID:39468210,RNA sequencing,ENSG00000171606,ZNF274,ENSG00000181291,TMEM132E
TUBB4B::TUBB2A,TUBB4B,TUBB2A,HUH7,PMID:39468210,RNA sequencing,ENSG00000188229,TUBB4B,ENSG00000137267,TUBB2A
LRRC59::FLJ60017,LRRC59,FLJ60017,HEPG2,PMID:30705370,TaqMan qRT-PCR,ENSG00000108829,LRRC59,ENSG00000184999, SLC22A10
STAMBPL1::FAS,STAMBPL1,FAS,HCC,PMID:38537933,TaqMan qRT-PCR,ENSG00000138134,STAMBPL1,ENSG00000026103,FAS
PCMTD1::SNTG1,PCMTD1,SNTG1,HCC,PMID:38537933,TaqMan qRT-PCR,ENSG00000168300,PCMTD1,ENSG00000147481,SNTG1
TRMT11::GRIK2,TRMT11,GRIK2,HCC,PMID:31164957; PMID:30705370,TaqMan qRT-PCR and Sanger sequencing,ENSG00000066651,TRMT11,ENSG00000164418,GRIK2
CRYL1::IFT88,CRYL1,IFT88,HCC,PMID:28489570,"RNA sequencing, RT-PCR, Sanger sequencing, and rapid amplification of cDNA ends",ENSG00000165475,CRYL1,ENSG00000032742,IFT88
RP11-476K15.1::CTD-2015H3.2,RP11-476K15.1,CTD-2015H3.2,HCC,PMID:30903738,"RNA sequencing, RT-PCR, and Sanger sequencing",ENSG00000266602,RP11-476K15.1,ENSG00000262174,CTD-2015H3.2
DNAJB1::PRKACA,DNAJB1,PRKACA,Fibrolamellar-HCC,PMID:24578576,"PCR, Sanger sequencing, Western blot, and functional assays",ENSG00000132002,DNAJB1,ENSG00000072062,PRKACA
C15orf57::CBX3,C15orf57,CBX3,HCC,PMID:30903738,"RNA sequencing, RT-PCR, and Sanger sequencing",ENSG00000128891,CCDC32,ENSG00000122565,CBX3
IGLV1-51::IGLL5,IGLV1-51,IGLL5,HCC,PMID:30903738,"RNA sequencing, RT-PCR, and Sanger sequencing",ENSG00000211644,IGLV1-51,ENSG00000254709,IGLL5
RP11-100N3.2::GNAS,RP11-100N3.2,GNAS,HCC,PMID:30903738,"RNA sequencing, RT-PCR, and Sanger sequencing",ENSG00000254953,RP11-100N3.2,ENSG00000087460,GNAS
SERPINA5::SERPINA9,SERPINA5,SERPINA9,HCC,PMID:30903738,RNA sequencing,ENSG00000188488,SERPINA5,ENSG00000170054,SERPINA9
DCUN1D3::GSG1L,DCUN1D3,GSG1L,HCC,PMID:30903738,RNA sequencing,ENSG00000188215,DCUN1D3,ENSG00000169181,GSG1L
AP3D1::SLC6A8,AP3D1,SLC6A8,HCC,PMID:30903738,RNA sequencing,ENSG00000065000,AP3D1,ENSG00000130821,SLC6A8
IGLV4-69::IGLJ3,IGLV4-69,IGLJ3,HCC,PMID:30903738,"RNA sequencing, RT-PCR, and Sanger sequencing",ENSG00000211637,IGLV4-69,ENSG00000211678,IGLJ3
HLA-DPB2::HLA-DRB1,HLA-DPB2,HLA-DRB1,HCC,PMID:30903738,RNA sequencing,ENSG00000224557,HLA-DPB2,ENSG00000196126,HLA-DRB1
CDH23::HLA-DPB1,CDH23,HLA-DPB1,HCC,PMID:30903738,RNA sequencing,ENSG00000107736,CDH23,ENSG00000223865,HLA-DPB1
VTI1A::CFAP46,VTI1A,CFAP46,HCC,PMID:31602373,"RNA sequencing, RT-PCR",ENSG00000151532,VTI1A,ENSG00000171811,CFAP46
SERPINA1::H19,SERPINA1,H19,HCC,PMID:40613496,RNA sequencing,ENSG00000197249,SERPINA1,ENSG00000130600,H19
