Known_Gene_Fusion,Gene1,Gene2,Sample,PMID_Reference,Validation
MAN2A1::FER,MAN2A1,FER,HUH7,PMID:38537933 ; PMID:31164957; PMID:28245430,TaqMan qRT-PCR and/or RT-PCR together with Sanger sequencing or functional assays
SLC45A2::AMACR,SLC45A2,AMACR,HUH7,PMID:38537933 ; PMID:31164958; PMID:34505419,TaqMan qRT-PCR and/or RT-PCR together with Sanger sequencing or functional assays
ZMPSTE24::ZMYM4,ZMPSTE24,ZMYM4,HCC,PMID:38537933,TaqMan qRT-PCR
PTEN::NOLC1,PTEN,NOLC1,HCC,PMID:38537933,TaqMan qRT-PCR
CCNH::C5orf30,CCNH,C5orf30,HUH7,PMID:30705370; PMID:38537933 ; PMID:31164957,TaqMan qRT-PCR and/or RT-PCR together with Sanger sequencing or functional assays
NUP188::PHYHD1,NUP188,PHYHD1,HUH7,PMID:25485619,RNA sequencing
IPO11::KIAA0825,IPO11,KIAA0825,HUH7,PMID:25485619;PMID:31097696;PMID:39468210,RNA sequencing
FAM59A::ACN9,FAM59A,ACN9,HUH7,PMID:25485619,RNA sequencing
ANKIB1::PTPRN2,ANKIB1,PTPRN2,HUH7,PMID:25485619,RNA sequencing
ANKIB1::DTX2P1-UPK3BP1-PMS2P11,ANKIB1,DTX2P1-UPK3BP1-PMS2P11,HUH7,PMID:31097696; PMID:39468210,RNA sequencing
ATP6V0D1::RBM19,ATP6V0D1,RBM19,HUH7,PMID:31097696,RNA sequencing
DTX2P1-UPK3BP1-PMS2P11::ANKIB1,DTX2P1-UPK3BP1-PMS2P11,ANKIB1,HUH7,PMID:31097696,RNA sequencing
GAREM1::SDHAF3,GAREM1,SDHAF3,HUH7,PMID:31097696,RNA sequencing
PLOD2::PLSCR4,PLOD2,PLSCR4,HUH7,PMID:31097696;PMID:39468210,RNA sequencing
RTN3::PACS1,RTN3,PACS1,HUH7,PMID:31097696;PMID:39468210,RNA sequencing
SORD::TERB2,SORD,TERB2,HUH7,PMID:31097696;PMID:39468210,RNA sequencing
SCARB1::UBC,SCARB1,UBC,HUH7,PMID:31097696,RNA sequencing
UQCC1::GDF5-AS1,UQCC1,GDF5-AS1,HUH7,PMID:39468210,RNA sequencing
XKR9::GNE,XKR9,GNE,HUH7,PMID:39468210,RNA sequencing
GPATCH1::GNL3L,GPATCH1,GNL3L,HUH7,PMID:39468210,RNA sequencing
SLC22A23::GSTA2,SLC22A23,GSTA2,HUH7,PMID:39468210,RNA sequencing
IGFBP7::PCAT4,IGFBP7,PCAT4,HUH7,PMID:39468210,RNA sequencing
IGFBP7-AS1::PCAT4,IGFBP7-AS1,PCAT4,HUH7,PMID:39468210,RNA sequencing
KRT8::VIM,KRT8,VIM,HUH7,PMID:39468210,RNA sequencing
