"Fusion Gene","Tumor Morphology","Tumor Location","Count"
"BCR::ABL1","Chronic myeloid leukemia, aberrant translocation","","264"
"PML::RARA","Acute promyelocytic leukemia (FAB type M3)","","58"
"RUNX1::RUNX1T1","Acute myeloblastic leukemia with maturation (FAB type M2)","","46"
"RUNX1::RUNX1T1","Acute myeloid leukemia, NOS","","34"
"BCR::ABL1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","17"
"KMT2A::AFF1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","16"
"TMPRSS2::ERG","Adenocarcinoma","Prostate","11"
"NUP214::ABL1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","10"
"KMT2A::MLLT1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","10"
"EWSR1::FLI1","Ewing sarcoma","Skeleton","10"
"PICALM::MLLT10","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","9"
"KMT2A::MLLT10","Acute monoblastic leukemia without differentiation (FAB type M5a)","","9"
"KMT2A::MLLT10","Acute monoblastic leukemia (FAB type M5)","","9"
"IGH::MYC","Burkitt lymphoma/leukemia","","9"
"BIRC3::MALT1","Extranodal marginal zone B-cell lymphoma","Stomach","9"
"TPM3::NTRK1","Adenocarcinoma","Lung","8"
"PAX5::JAK2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","8"
"KIF5B::RET","Adenocarcinoma","Lung","8"
"IGH::CCND1","Mantle cell lymphoma","","8"
"EWSR1::FLI1","Ewing sarcoma","Unknown site","8"
"ETV6::RUNX1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","8"
"EBF1::PDGFRB","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","8"
"CBFB::MYH11","Acute myeloid leukemia, NOS","","8"
"TPM3::NTRK1","Adenocarcinoma","Large intestine","6"
"RUNX1::RUNX1T1","Acute myeloblastic leukemia without maturation (FAB type M1)","","6"
"RCSD1::ABL2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","6"
"NPM1::ALK","Anaplastic large cell lymphoma, systemic type","","6"
"KIAA1549::BRAF","Astrocytoma, grade I-II","Brain","6"
"IRF2BP2::NTRK1","Adenocarcinoma","Lung","6"
"EZR::ROS1","Adenocarcinoma","Lung","6"
"EWSR1::ERG","Ewing sarcoma","Skeleton","6"
"EWSR1::DDIT3","Liposarcoma, myxoid/round cell","Soft tissue","6"
"EP300::ZNF384","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","6"
"COL1A1::PDGFB","Dermatofibrosarcoma protuberans/Bednar tumor/giant cell fibroblastoma","Soft tissue","6"
"CBFB::MYH11","Acute myelomonocytic leukemia (FAB type M4)","","6"
"TRA::MYC","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","5"
"STAT5B::RARA","Acute promyelocytic leukemia (FAB type M3)","","5"
"SS18::SSX1","Synovial sarcoma","Soft tissue","5"
"RUNX1::RUNX1T1","Acute myelomonocytic leukemia (FAB type M4)","","5"
"RBM15::MRTFA","Acute megakaryoblastic leukemia (FAB type M7)","","5"
"PML::RARA","Acute myeloid leukemia, NOS","","5"
"PAX7::FOXO1","Alveolar rhabdomyosarcoma","Soft tissue","5"
"PAX5::ZCCHC7","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","5"
"NCOA4::RET","Adenocarcinoma","Thyroid","5"
"KIAA1549::BRAF","Astrocytoma, pilocytic/juvenile","Brain","5"
"IGH::BCL3","Chronic lymphocytic leukemia","","5"
"IGH::BCL2","Follicular lymphoma","","5"
"IGH::BCL2","Burkitt lymphoma/leukemia","","5"
"HAS2::PLAG1","Lipoblastoma","Soft tissue","5"
"FGFR3::TACC3","Astrocytoma, grade III-IV/Glioblastoma","Brain","5"
"EWSR1::FLI1","Ewing sarcoma","Soft tissue","5"
"EWSR1::CREM","Mesenchymal tumor, special type","Brain","5"
"ETV6::NTRK3","Adenocarcinoma","Thyroid","5"
"ETV6::NTRK3","Adenocarcinoma","Lung","5"
"ETV6::ABL1","Atypical chronic myeloid leukemia","","5"
"CD74::ROS1","Adenocarcinoma","Lung","5"
"CCDC6::RET","Adenocarcinoma","Lung","5"
"CBFB::MYH11","Acute myeloblastic leukemia with maturation (FAB type M2)","","5"
"CBFA2T3::GLIS2","Acute megakaryoblastic leukemia (FAB type M7)","","5"
"BCR::ABL1","Chronic myeloid leukemia, t(9;22)","","5"
"ZMIZ1::ABL1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"ZC3HAV1::ABL2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"YAP1::KMT2A","Sclerosing epithelioid fibrosarcoma","Soft tissue","4"
"XRN1::SMYD3","Astrocytoma, grade III-IV/Glioblastoma","Brain","4"
"TRD::TAL1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"TPR::NTRK1","Adenocarcinoma","Lung","4"
"TPM3::NTRK1","Adenocarcinoma","Thyroid","4"
"TPM3::ALK","Anaplastic large cell lymphoma, systemic type","","4"
"TFG::MET","Adenocarcinoma","Thyroid","4"
"TAF15::NR4A3","Chondrosarcoma, myxoid","Soft tissue","4"
"STRN::ALK","Adenocarcinoma","Thyroid","4"
"SSBP2::CSF1R","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"SS18::SSX2","Synovial sarcoma","Soft tissue","4"
"SND1::BRAF","Adenocarcinoma","Thyroid","4"
"SLC34A2::ROS1","Adenocarcinoma","Lung","4"
"RBM10::TFE3","Adenocarcinoma","Kidney","4"
"PCM1::JAK2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"PAX5::ETV6","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"PAX5::CBFA2T2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"P2RY8::CRLF2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"NUP98::NSD1","Acute myelomonocytic leukemia (FAB type M4)","","4"
"NUP98::NSD1","Acute myeloblastic leukemia without maturation (FAB type M1)","","4"
"NUP98::KDM5A","Acute megakaryoblastic leukemia (FAB type M7)","","4"
"NSD3::PSD3","Adenocarcinoma","Breast","4"
"NPM1::ALK","Diffuse large B-cell lymphoma","","4"
"NFASC::NTRK1","Astrocytoma, grade III-IV/Glioblastoma","Brain","4"
"NAB2::STAT6","Solitary fibrous tumor","Brain","4"
"MEF2D::HNRNPUL1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"MEF2D::BCL9","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"MED15::TFE3","Adenocarcinoma","Kidney","4"
"LMNA::NTRK1","Adenocarcinoma","Large intestine","4"
"LIFR::PLAG1","Adenoma","Salivary gland","4"
