.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
FAZ80247_pass_03069096_5394ef1c_concatenated	1	0.25	1	0.25	0.25	1	0.5	1	1	0.25
FAZ83542_pass_1344a466_45031b9d_concatenated	1	0.25	1	0.25	0.25	1	0.5	1	1	0.25
FBA22517_pass_d17fa1e0_a6486b6e_concatenated	1	0.25	0.25	0.25	0.25	1	0.5	1	0.5	1
FBA22660_pass_d1e1158a_77e47f3b_concatenated	1	0.25	0.25	0.25	0.25	1	0.5	1	0.25	1
FBA43334_pass_6846ed3b_6b29293f_concatenated	1	0.25	1	0.25	0.25	1	0.5	0.5	0.5	1
FBA62655_pass_9d20541a_79aab80e_concatenated	1	0.25	1	0.25	0.25	1	0.5	0.5	0.5	1
FBA62655_pass_9d20541a_79aab80e_merged	1	0.25	0.25	0.25	0.25	1	0.5	0.5	1	0.25
chopper_filtered_FBA22517_pass_d17fa1e0_a6486b6e_concatenated	1	0.25	0.25	0.25	0.25	1	0.5	1	0.5	1
chopper_filtered_FBA22660_pass_d1e1158a_77e47f3b_concatenated	1	0.25	0.25	0.25	0.25	1	0.5	0.5	0.25	1
chopper_filtered_dorado_trimmed_FAZ80247_pass_03069096_5394ef1c_concatenated	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
chopper_filtered_dorado_trimmed_FAZ83542_pass_1344a466_45031b9d_concatenated	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
chopper_filtered_dorado_trimmed_FBA43334_pass_6846ed3b_6b29293f_concatenated	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
chopper_filtered_dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenated	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
dorado_FBA62655_pass_9d20541a_79aab80e_concatenated	1	0.25	1	0.25	0.25	1	0.5	0.5	0.5	1
dorado_trim_full_length_pychopper_output.FAZ80247_pass_03069096_5394ef1c_concatenated	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
dorado_trimmed_FAZ80247_pass_03069096_5394ef1c_concatenated	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
dorado_trimmed_FAZ83542_pass_1344a466_45031b9d_concatenated	1	0.5	1	0.25	0.5	1	0.5	0.5	0.5	1
dorado_trimmed_FBA43334_fail_6846ed3b_6b29293f_concatenated	1	0.25	0.25	0.25	0.25	1	0.5	0.25	0.25	0.5
dorado_trimmed_FBA43334_pass_6846ed3b_6b29293f_concatenated	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenated	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenatedTrimLT-U0-D20W100L100R0	1	0.5	1	0.25	0.25	0.25	0.5	0.25	0.25	1
restranded_dorado_trimmed_FBA43334_fail_6846ed3b_6b29293f_concatenated	1	0.25	0.25	0.25	0.25	1	0.5	1	0.25	0.25
