Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
FAZ80247_pass_03069096_5394ef1c_concatenated	(3.0, 1.0)	(4.0, 1.0)	(5.0, 4.0)	(6.0, 15.0)	(7.0, 20.0)	(8.0, 43.0)	(9.0, 91.0)	(10.0, 219.0)	(11.0, 554.0)	(12.0, 1594.0)	(13.0, 5387.0)	(14.0, 16429.0)	(15.0, 32809.0)	(16.0, 50018.0)	(17.0, 64826.0)	(18.0, 77241.0)	(19.0, 91101.0)	(20.0, 107798.0)	(21.0, 129194.0)	(22.0, 158360.0)	(23.0, 199475.0)	(24.0, 261151.0)	(25.0, 354419.0)	(26.0, 478414.0)	(27.0, 603127.0)	(28.0, 714296.0)	(29.0, 835088.0)	(30.0, 997650.0)	(31.0, 1204055.0)	(32.0, 1445113.0)	(33.0, 1685323.0)	(34.0, 1870434.0)	(35.0, 1917248.0)	(36.0, 1769356.0)	(37.0, 1400727.0)	(38.0, 901941.0)	(39.0, 434220.0)	(40.0, 136116.0)	(41.0, 23887.0)	(42.0, 2849.0)	(43.0, 464.0)	(44.0, 50.0)	(45.0, 7.0)							
FAZ83542_pass_1344a466_45031b9d_concatenated	(4.0, 1.0)	(5.0, 12.0)	(6.0, 19.0)	(7.0, 38.0)	(8.0, 60.0)	(9.0, 108.0)	(10.0, 308.0)	(11.0, 990.0)	(12.0, 2783.0)	(13.0, 9421.0)	(14.0, 27004.0)	(15.0, 48702.0)	(16.0, 67484.0)	(17.0, 84386.0)	(18.0, 101871.0)	(19.0, 121249.0)	(20.0, 143984.0)	(21.0, 171449.0)	(22.0, 202728.0)	(23.0, 239204.0)	(24.0, 283121.0)	(25.0, 336449.0)	(26.0, 404513.0)	(27.0, 487204.0)	(28.0, 593354.0)	(29.0, 728754.0)	(30.0, 908801.0)	(31.0, 1136855.0)	(32.0, 1409738.0)	(33.0, 1695744.0)	(34.0, 1945304.0)	(35.0, 2066924.0)	(36.0, 1978211.0)	(37.0, 1627215.0)	(38.0, 1080517.0)	(39.0, 521905.0)	(40.0, 155856.0)	(41.0, 23546.0)	(42.0, 1826.0)	(43.0, 198.0)	(44.0, 29.0)									
FBA22517_pass_d17fa1e0_a6486b6e_concatenated	(2.0, 1.0)	(3.0, 10.0)	(4.0, 130.0)	(5.0, 364.0)	(6.0, 363.0)	(7.0, 238.0)	(8.0, 122.0)	(9.0, 167.0)	(10.0, 331.0)	(11.0, 962.0)	(12.0, 3638.0)	(13.0, 24752.0)	(14.0, 150119.0)	(15.0, 522099.0)	(16.0, 841188.0)	(17.0, 791839.0)	(18.0, 667247.0)	(19.0, 437812.0)	(20.0, 216652.0)	(21.0, 88904.0)	(22.0, 39625.0)	(23.0, 25125.0)	(24.0, 22059.0)	(25.0, 26644.0)	(26.0, 30836.0)	(27.0, 31067.0)	(28.0, 19009.0)	(29.0, 4000.0)	(30.0, 420.0)	(31.0, 117.0)	(32.0, 63.0)	(33.0, 36.0)	(34.0, 18.0)	(35.0, 6.0)	(36.0, 10.0)	(37.0, 1.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 1.0)	(41.0, 1.0)	(42.0, 1.0)	(43.0, 0.0)	(44.0, 1.0)							
FBA22660_pass_d1e1158a_77e47f3b_concatenated	(2.0, 3.0)	(3.0, 10.0)	(4.0, 73.0)	(5.0, 240.0)	(6.0, 283.0)	(7.0, 225.0)	(8.0, 168.0)	(9.0, 197.0)	(10.0, 354.0)	(11.0, 1020.0)	(12.0, 4144.0)	(13.0, 25693.0)	(14.0, 140412.0)	(15.0, 530539.0)	(16.0, 1179290.0)	(17.0, 1173496.0)	(18.0, 1014531.0)	(19.0, 779224.0)	(20.0, 461351.0)	(21.0, 212698.0)	(22.0, 85626.0)	(23.0, 43982.0)	(24.0, 32275.0)	(25.0, 36023.0)	(26.0, 42795.0)	(27.0, 44119.0)	(28.0, 34822.0)	(29.0, 10933.0)	(30.0, 1377.0)	(31.0, 126.0)	(32.0, 50.0)	(33.0, 24.0)	(34.0, 12.0)	(35.0, 12.0)	(36.0, 1.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 1.0)	(40.0, 1.0)											
FBA43334_pass_6846ed3b_6b29293f_concatenated	(5.0, 9.0)	(6.0, 17.0)	(7.0, 51.0)	(8.0, 61.0)	(9.0, 99.0)	(10.0, 163.0)	(11.0, 258.0)	(12.0, 520.0)	(13.0, 1127.0)	(14.0, 3300.0)	(15.0, 9192.0)	(16.0, 14511.0)	(17.0, 18235.0)	(18.0, 22951.0)	(19.0, 29795.0)	(20.0, 40400.0)	(21.0, 56659.0)	(22.0, 81287.0)	(23.0, 120549.0)	(24.0, 176400.0)	(25.0, 252728.0)	(26.0, 337836.0)	(27.0, 415980.0)	(28.0, 474466.0)	(29.0, 509491.0)	(30.0, 544515.0)	(31.0, 609821.0)	(32.0, 712417.0)	(33.0, 805787.0)	(34.0, 797014.0)	(35.0, 608343.0)	(36.0, 328059.0)	(37.0, 123055.0)	(38.0, 35407.0)	(39.0, 8490.0)	(40.0, 2047.0)	(41.0, 352.0)	(42.0, 45.0)	(43.0, 2.0)											
FBA62655_pass_9d20541a_79aab80e_concatenated	(4.0, 1.0)	(5.0, 0.0)	(6.0, 1.0)	(7.0, 9.0)	(8.0, 19.0)	(9.0, 33.0)	(10.0, 68.0)	(11.0, 154.0)	(12.0, 345.0)	(13.0, 781.0)	(14.0, 1823.0)	(15.0, 4022.0)	(16.0, 8143.0)	(17.0, 12795.0)	(18.0, 19246.0)	(19.0, 27676.0)	(20.0, 38015.0)	(21.0, 51297.0)	(22.0, 67218.0)	(23.0, 88573.0)	(24.0, 114786.0)	(25.0, 148681.0)	(26.0, 187980.0)	(27.0, 231144.0)	(28.0, 268150.0)	(29.0, 294714.0)	(30.0, 307880.0)	(31.0, 310466.0)	(32.0, 307746.0)	(33.0, 292545.0)	(34.0, 260910.0)	(35.0, 212145.0)	(36.0, 157287.0)	(37.0, 109579.0)	(38.0, 69617.0)	(39.0, 38377.0)	(40.0, 16320.0)	(41.0, 4302.0)	(42.0, 696.0)	(43.0, 75.0)	(44.0, 5.0)									
FBA62655_pass_9d20541a_79aab80e_merged	(4.0, 1.0)	(5.0, 0.0)	(6.0, 1.0)	(7.0, 9.0)	(8.0, 19.0)	(9.0, 5029259.0)	(10.0, 73.0)	(11.0, 183.0)	(12.0, 530.0)	(13.0, 1753.0)	(14.0, 5131.0)	(15.0, 13111.0)	(16.0, 29373.0)	(17.0, 47840.0)	(18.0, 72594.0)	(19.0, 105298.0)	(20.0, 145874.0)	(21.0, 197719.0)	(22.0, 261433.0)	(23.0, 347114.0)	(24.0, 453345.0)	(25.0, 592047.0)	(26.0, 750253.0)	(27.0, 918101.0)	(28.0, 1060902.0)	(29.0, 1169469.0)	(30.0, 1253222.0)	(31.0, 1324017.0)	(32.0, 1372149.0)	(33.0, 1337392.0)	(34.0, 1186315.0)	(35.0, 914741.0)	(36.0, 612348.0)	(37.0, 368110.0)	(38.0, 195150.0)	(39.0, 88774.0)	(40.0, 31683.0)	(41.0, 7320.0)	(42.0, 1084.0)	(43.0, 136.0)	(44.0, 11.0)									
chopper_filtered_FBA22517_pass_d17fa1e0_a6486b6e_concatenated	(11.0, 2.0)	(12.0, 292.0)	(13.0, 12973.0)	(14.0, 127602.0)	(15.0, 499545.0)	(16.0, 825163.0)	(17.0, 781206.0)	(18.0, 660183.0)	(19.0, 433075.0)	(20.0, 213554.0)	(21.0, 87069.0)	(22.0, 38601.0)	(23.0, 24581.0)	(24.0, 21740.0)	(25.0, 26468.0)	(26.0, 30724.0)	(27.0, 30992.0)	(28.0, 18967.0)	(29.0, 3972.0)	(30.0, 408.0)	(31.0, 110.0)	(32.0, 61.0)	(33.0, 34.0)	(34.0, 16.0)	(35.0, 6.0)	(36.0, 7.0)	(37.0, 1.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 1.0)																				
chopper_filtered_FBA22660_pass_d1e1158a_77e47f3b_concatenated	(11.0, 16.0)	(12.0, 443.0)	(13.0, 13668.0)	(14.0, 115921.0)	(15.0, 505224.0)	(16.0, 1160520.0)	(17.0, 1160806.0)	(18.0, 1005677.0)	(19.0, 773069.0)	(20.0, 457415.0)	(21.0, 210246.0)	(22.0, 84227.0)	(23.0, 43209.0)	(24.0, 31894.0)	(25.0, 35763.0)	(26.0, 42635.0)	(27.0, 44022.0)	(28.0, 34750.0)	(29.0, 10902.0)	(30.0, 1363.0)	(31.0, 113.0)	(32.0, 43.0)	(33.0, 20.0)	(34.0, 12.0)	(35.0, 10.0)	(36.0, 1.0)																								
chopper_filtered_dorado_trimmed_FAZ80247_pass_03069096_5394ef1c_concatenated	(11.0, 3.0)	(12.0, 12.0)	(13.0, 224.0)	(14.0, 2508.0)	(15.0, 9710.0)	(16.0, 20386.0)	(17.0, 32031.0)	(18.0, 42998.0)	(19.0, 51920.0)	(20.0, 60805.0)	(21.0, 72344.0)	(22.0, 86210.0)	(23.0, 104666.0)	(24.0, 131184.0)	(25.0, 169487.0)	(26.0, 226571.0)	(27.0, 317704.0)	(28.0, 448466.0)	(29.0, 570962.0)	(30.0, 650348.0)	(31.0, 740912.0)	(32.0, 874903.0)	(33.0, 1035741.0)	(34.0, 1230936.0)	(35.0, 1448548.0)	(36.0, 1674336.0)	(37.0, 1859605.0)	(38.0, 1923260.0)	(39.0, 1745111.0)	(40.0, 1269594.0)	(41.0, 649611.0)	(42.0, 194676.0)	(43.0, 26707.0)	(44.0, 1332.0)	(45.0, 32.0)	(46.0, 1.0)														
