Sample	Unique Reads	Duplicate Reads
FAZ80247_pass_03069096_5394ef1c_concatenated	17925219.0	45896.0
FAZ83542_pass_1344a466_45031b9d_concatenated	18546808.0	61057.0
FBA22517_pass_d17fa1e0_a6486b6e_concatenated	2884534.0	1061444.0
FBA22660_pass_d1e1158a_77e47f3b_concatenated	4107024.0	1749106.0
FBA43334_pass_6846ed3b_6b29293f_concatenated	4614724.0	2526715.0
FBA62655_pass_9d20541a_79aab80e_concatenated	2541628.0	1111996.0
FBA62655_pass_9d20541a_79aab80e_merged	12722239.0	7171645.0
chopper_filtered_FBA22517_pass_d17fa1e0_a6486b6e_concatenated	2791161.0	1046192.0
chopper_filtered_FBA22660_pass_d1e1158a_77e47f3b_concatenated	4005176.0	1726793.0
chopper_filtered_dorado_trimmed_FAZ80247_pass_03069096_5394ef1c_concatenated	11433742.0	6240102.0
chopper_filtered_dorado_trimmed_FAZ83542_pass_1344a466_45031b9d_concatenated	11884023.0	6225833.0
chopper_filtered_dorado_trimmed_FBA43334_pass_6846ed3b_6b29293f_concatenated	2671796.0	4420270.0
chopper_filtered_dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenated	1780717.0	1844667.0
dorado_FBA62655_pass_9d20541a_79aab80e_concatenated	2541628.0	1111996.0
dorado_trim_full_length_pychopper_output.FAZ80247_pass_03069096_5394ef1c_concatenated	4839195.0	11303340.0
dorado_trimmed_FAZ80247_pass_03069096_5394ef1c_concatenated	11698117.0	6272998.0
dorado_trimmed_FAZ83542_pass_1344a466_45031b9d_concatenated	12337638.0	6270227.0
dorado_trimmed_FBA43334_fail_6846ed3b_6b29293f_concatenated	782996.0	980774.0
dorado_trimmed_FBA43334_pass_6846ed3b_6b29293f_concatenated	2714544.0	4426895.0
dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenated	1805752.0	1847872.0
dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenatedTrimLT-U0-D20W100L100R0	1761711.0	1875297.0
restranded_dorado_trimmed_FBA43334_fail_6846ed3b_6b29293f_concatenated	83562.0	19047.0
