Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
FAZ80247_pass_03069096_5394ef1c_concatenated	(1.0, 99.60231705963582)	(2.0, 0.22952718574291092)	(3.0, 0.046234506006356785)	(4.0, 0.02519747430130033)	(5.0, 0.012128462006603436)	(6.0, 0.009121648878058363)	(7.0, 0.00609799857747901)	(8.0, 0.002038309659449191)	(9.0, 0.001021981742201396)	('>10', 0.010691639998125724)	('>50', 0.002336962056848778)	('>100', 0.007473201038177342)	('>500', 0.004170055319611535)	('>1k', 0.007792157317818516)	('>5k', 0.03385135771926587)	('>10k+', 0.0)
FAZ83542_pass_1344a466_45031b9d_concatenated	(1.0, 99.47206134216819)	(2.0, 0.3227349931020028)	(3.0, 0.06532379047797107)	(4.0, 0.035268975838872306)	(5.0, 0.01515590224758067)	(6.0, 0.008104854155658278)	(7.0, 0.009142423944016927)	(8.0, 0.0030556434678759726)	(9.0, 0.006127653534696534)	('>10', 0.016878546052470467)	('>50', 0.0024248208098179925)	('>100', 0.0070897267773468815)	('>500', 0.005319790838973992)	('>1k', 0.0)	('>5k', 0.03131153658454692)	('>10k+', 0.0)
FBA22517_pass_d17fa1e0_a6486b6e_concatenated	(1.0, 68.5538211978071)	(2.0, 4.757519310759085)	(3.0, 2.366544170670639)	(4.0, 1.5405972250598017)	(5.0, 1.0913308282990513)	(6.0, 0.8219000204944495)	(7.0, 0.7509323806461178)	(8.0, 0.6033666222552501)	(9.0, 0.4866352919093514)	('>10', 6.243088044848303)	('>50', 2.6763354263109633)	('>100', 5.021435789677033)	('>500', 1.5058591493711164)	('>1k', 1.1509118963798572)	('>5k', 0.3981474016273589)	('>10k+', 2.0315752438845007)
FBA22660_pass_d1e1158a_77e47f3b_concatenated	(1.0, 65.58991537633081)	(2.0, 4.7365000389795675)	(3.0, 2.3630664051565584)	(4.0, 1.513851763416599)	(5.0, 1.0443494429512916)	(6.0, 0.8799783618455925)	(7.0, 0.7339789800940774)	(8.0, 0.5931687927399744)	(9.0, 0.515455527555148)	('>10', 6.357129986560246)	('>50', 2.4759138010997352)	('>100', 6.2988985939507804)	('>500', 1.6277902878214554)	('>1k', 2.0831750592437337)	('>5k', 0.33374621925438436)	('>10k+', 2.8530813630001943)
FBA43334_pass_6846ed3b_6b29293f_concatenated	(1.0, 59.127767553165455)	(2.0, 5.32058510722271)	(3.0, 2.822389157616823)	(4.0, 1.91700224416941)	(5.0, 1.4037754406580332)	(6.0, 1.216698035754527)	(7.0, 0.931016355606293)	(8.0, 0.8101892062725857)	(9.0, 0.699354286431362)	('>10', 9.968026946589807)	('>50', 3.5223917358407157)	('>100', 6.743962475704834)	('>500', 1.9959612130433795)	('>1k', 2.7223103954847483)	('>5k', 0.7985698464393571)	('>10k+', 0.0)
FBA62655_pass_9d20541a_79aab80e_concatenated	(1.0, 64.07003107716504)	(2.0, 5.453845708588682)	(3.0, 2.8486355450147536)	(4.0, 1.9082938157493199)	(5.0, 1.4387872899976117)	(6.0, 1.1098103434607374)	(7.0, 0.939021537692828)	(8.0, 0.7771655342221367)	(9.0, 0.7109853973596578)	('>10', 9.000526782407919)	('>50', 3.1276426634708456)	('>100', 5.454723388921589)	('>500', 1.5366374350116219)	('>1k', 1.484378018493447)	('>5k', 0.1395154624438026)	('>10k+', 0.0)
FBA62655_pass_9d20541a_79aab80e_merged	(1.0, 53.44432387234437)	(2.0, 9.011339147039225)	(3.0, 8.661461139453495)	(4.0, 3.1824062808099836)	(5.0, 3.1346783241717393)	(6.0, 5.7538608985553426)	(7.0, 0.9715707557997184)	(8.0, 0.7428082478869742)	(9.0, 0.6675994402465277)	('>10', 6.9559193072823975)	('>50', 1.8691722747807313)	('>100', 2.834192409250187)	('>500', 0.8179952988509215)	('>1k', 1.4805940389037144)	('>5k', 0.3144281752059494)	('>10k+', 0.1576503894187091)
chopper_filtered_FBA22517_pass_d17fa1e0_a6486b6e_concatenated	(1.0, 68.15073060819559)	(2.0, 4.7867820060836435)	(3.0, 2.3983563393787977)	(4.0, 1.552410426538943)	(5.0, 1.0957154197037666)	(6.0, 0.8403880518913159)	(7.0, 0.7644519821204321)	(8.0, 0.6155849050002443)	(9.0, 0.48952718683686924)	('>10', 6.2828933987101685)	('>50', 2.7296058019004157)	('>100', 5.111952677194149)	('>500', 1.566590736708581)	('>1k', 1.117754431859123)	('>5k', 0.4090779032675189)	('>10k+', 2.0881781246104043)
chopper_filtered_FBA22660_pass_d1e1158a_77e47f3b_concatenated	(1.0, 65.32363146925195)	(2.0, 4.7370957581030355)	(3.0, 2.3697225792924606)	(4.0, 1.5127510556743409)	(5.0, 1.0643068667230378)	(6.0, 0.8710272485059206)	(7.0, 0.7481752744618827)	(8.0, 0.6014770915892732)	(9.0, 0.5101607509156837)	('>10', 6.378326727568948)	('>50', 2.4913520180677216)	('>100', 6.370967525051581)	('>500', 1.6512128575354434)	('>1k', 2.117717607756784)	('>5k', 0.340547204838866)	('>10k+', 2.9115279646630605)
chopper_filtered_dorado_trimmed_FAZ80247_pass_03069096_5394ef1c_concatenated	(1.0, 60.67237384376926)	(2.0, 4.720785799736663)	(3.0, 1.5047500673174623)	(4.0, 0.9691929732299631)	(5.0, 0.8052656403183269)	(6.0, 0.69351631515047)	(7.0, 0.5398262859886181)	(8.0, 0.4765496227872664)	(9.0, 0.4525432884052537)	('>10', 7.005825982092763)	('>50', 3.4623309270165095)	('>100', 9.201386574887485)	('>500', 4.093606031120657)	('>1k', 3.9164752581181803)	('>5k', 1.0925385630918218)	('>10k+', 0.3930328269693519)
chopper_filtered_dorado_trimmed_FAZ83542_pass_1344a466_45031b9d_concatenated	(1.0, 62.0488891025898)	(2.0, 3.70819357296807)	(3.0, 1.531553875663518)	(4.0, 1.087712872527931)	(5.0, 0.8458788853322322)	(6.0, 0.6192404982310602)	(7.0, 0.6017537153931196)	(8.0, 0.5113502599456812)	(9.0, 0.41858001290992813)	('>10', 7.3741978710256255)	('>50', 3.4761867394942185)	('>100', 9.171217562096547)	('>500', 3.5758879598900872)	('>1k', 3.4187484655745197)	('>5k', 1.2261983328865622)	('>10k+', 0.3844102734712197)
chopper_filtered_dorado_trimmed_FBA43334_pass_6846ed3b_6b29293f_concatenated	(1.0, 34.879496118033565)	(2.0, 2.8860088311884406)	(3.0, 1.3932094361030742)	(4.0, 0.9010327889539362)	(5.0, 0.6758321235070381)	(6.0, 0.5368982232643338)	(7.0, 0.4332407286680268)	(8.0, 0.38744360610095147)	(9.0, 0.3417574302293452)	('>10', 4.49811651294829)	('>50', 1.7665432548451179)	('>100', 4.280992592923482)	('>500', 2.0945404427128644)	('>1k', 3.7869678783050627)	('>5k', 2.5881367796434804)	('>10k+', 38.549783252573036)
