Sample	Unassigned: Unmapped	Unassigned: No Features
FAZ80247_pass_03069096_5394ef1c_concatenated	294903.0	57776684.0
FAZ83542_pass_1344a466_45031b9d_concatenated	555411.0	57331351.0
FBA22517_pass_d17fa1e0_a6486b6e_concatenated	1130363.0	8473940.0
FBA22660_pass_d1e1158a_77e47f3b_concatenated	1753171.0	12304302.0
FBA43334_pass_6846ed3b_6b29293f_concatenated	1258394.0	20994982.0
FBA62655_pass_9d20541a_79aab80e_concatenated	840838.0	11386679.0
Huh7_B1_Illumina	7427251.0	174327978.0
Huh7_B2_Illumina	8499661.0	165713164.0
PB1_FLNCcDNA	193457.0	76789442.0
PB2_FLNCcDNA	209125.0	76003358.0
chopper_filtered_FBA22517_pass_d17fa1e0_a6486b6e_concatenated	1047017.0	8400303.0
chopper_filtered_FBA22660_pass_d1e1158a_77e47f3b_concatenated	1656121.0	12221017.0
chopper_filtered_dorado_trimmed_FAZ80247_pass_03069096_5394ef1c_concatenated	93653.0	57467145.0
chopper_filtered_dorado_trimmed_FAZ83542_pass_1344a466_45031b9d_concatenated	148853.0	57041810.0
chopper_filtered_dorado_trimmed_FBA43334_pass_6846ed3b_6b29293f_concatenated	1220642.0	20957014.0
chopper_filtered_dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenated	820239.0	11359447.0
dorado_FBA62655_pass_9d20541a_79aab80e_concatenated	840838.0	11386679.0
dorado_trimmed_FAZ80247_pass_03069096_5394ef1c_concatenated	295104.0	57775955.0
dorado_trimmed_FAZ83542_pass_1344a466_45031b9d_concatenated	555734.0	57329983.0
dorado_trimmed_FBA43334_pass_6846ed3b_6b29293f_concatenated	1259062.0	20992405.0
dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenated	841057.0	11385604.0
