Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
FAZ80247_pass_03069096_5394ef1c_concatenated	FAZ80247_pass_03069096_5394ef1c_concatenated.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17971115.0	19.6 Gbp	0.0	13-477801	48.0	99.74460845329783	5008.809322293024	4999	pass	fail	pass	fail	fail	pass	warn	pass	pass	fail
FAZ83542_pass_1344a466_45031b9d_concatenated	FAZ83542_pass_1344a466_45031b9d_concatenated.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18607865.0	20.8 Gbp	0.0	21-319635	48.0	99.67187252580992	5001.153054689509	4999	pass	fail	pass	fail	fail	pass	warn	pass	pass	fail
FBA22517_pass_d17fa1e0_a6486b6e_concatenated	FBA22517_pass_d17fa1e0_a6486b6e_concatenated.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3945978.0	3.6 Gbp	0.0	1-130501	63.0	73.10058934614545	2506.708036005269	2499	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass
FBA22660_pass_d1e1158a_77e47f3b_concatenated	FBA22660_pass_d1e1158a_77e47f3b_concatenated.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5856130.0	5.6 Gbp	0.0	1-126266	63.0	70.1320342173454	2510.7963909612663	2499	pass	fail	fail	fail	fail	pass	warn	pass	fail	pass
FBA43334_pass_6846ed3b_6b29293f_concatenated	FBA43334_pass_6846ed3b_6b29293f_concatenated.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7141439.0	14.7 Gbp	0.0	24-259580	61.0	64.61895692415914	5023.142206143608	4999	pass	fail	pass	fail	fail	pass	warn	warn	warn	pass
FBA62655_pass_9d20541a_79aab80e_concatenated	FBA62655_pass_9d20541a_79aab80e_concatenated.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3653624.0	5.9 Gbp	0.0	1-602943	56.0	69.56455697673111	10001.561370436586	9999	pass	fail	pass	fail	fail	pass	warn	warn	warn	pass
FBA62655_pass_9d20541a_79aab80e_merged	FBA62655_pass_9d20541a_79aab80e_merged.bam	Conventional base calls	Sanger / Illumina 1.9	19893884.0	26.6 Gbp	0.0	1-602943	60.0	63.95050272640056	10000.494852111333	9999	pass	fail	fail	fail	fail	pass	warn	warn	pass	fail
chopper_filtered_FBA22517_pass_d17fa1e0_a6486b6e_concatenated	chopper_filtered_FBA22517_pass_d17fa1e0_a6486b6e_concatenated.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3837353.0	3.6 Gbp	0.0	100-130501	63.0	72.73660653803842	2506.893834109085	2499	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass
chopper_filtered_FBA22660_pass_d1e1158a_77e47f3b_concatenated	chopper_filtered_FBA22660_pass_d1e1158a_77e47f3b_concatenated.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5731969.0	5.6 Gbp	0.0	100-126266	63.0	69.87434220866949	2511.037594498505	2499	pass	fail	fail	fail	fail	pass	warn	warn	fail	pass
chopper_filtered_dorado_trimmed_FAZ80247_pass_03069096_5394ef1c_concatenated	chopper_filtered_dorado_trimmed_FAZ80247_pass_03069096_5394ef1c_concatenated.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17673844.0	16.6 Gbp	0.0	100-477801	48.0	64.69300686289856	5008.8516102948515	4999	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass
chopper_filtered_dorado_trimmed_FAZ83542_pass_1344a466_45031b9d_concatenated	chopper_filtered_dorado_trimmed_FAZ83542_pass_1344a466_45031b9d_concatenated.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18109856.0	17.7 Gbp	0.0	100-319557	48.0	65.62184745562321	5001.165379310581	4999	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass
