Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
FAZ80247_pass_03069096_5394ef1c_concatenated	58071587	0	294903	0	0	0	0	0	0	0	0	0	57776684	0	0	0.0
FAZ83542_pass_1344a466_45031b9d_concatenated	57886762	0	555411	0	0	0	0	0	0	0	0	0	57331351	0	0	0.0
FBA22517_pass_d17fa1e0_a6486b6e_concatenated	9604303	0	1130363	0	0	0	0	0	0	0	0	0	8473940	0	0	0.0
FBA22660_pass_d1e1158a_77e47f3b_concatenated	14057473	0	1753171	0	0	0	0	0	0	0	0	0	12304302	0	0	0.0
FBA43334_pass_6846ed3b_6b29293f_concatenated	22253376	0	1258394	0	0	0	0	0	0	0	0	0	20994982	0	0	0.0
FBA62655_pass_9d20541a_79aab80e_concatenated	12227517	0	840838	0	0	0	0	0	0	0	0	0	11386679	0	0	0.0
Huh7_B1_Illumina	181755229	0	7427251	0	0	0	0	0	0	0	0	0	174327978	0	0	0.0
Huh7_B2_Illumina	174212825	0	8499661	0	0	0	0	0	0	0	0	0	165713164	0	0	0.0
PB1_FLNCcDNA	76982899	0	193457	0	0	0	0	0	0	0	0	0	76789442	0	0	0.0
PB2_FLNCcDNA	76212483	0	209125	0	0	0	0	0	0	0	0	0	76003358	0	0	0.0
chopper_filtered_FBA22517_pass_d17fa1e0_a6486b6e_concatenated	9447320	0	1047017	0	0	0	0	0	0	0	0	0	8400303	0	0	0.0
chopper_filtered_FBA22660_pass_d1e1158a_77e47f3b_concatenated	13877138	0	1656121	0	0	0	0	0	0	0	0	0	12221017	0	0	0.0
chopper_filtered_dorado_trimmed_FAZ80247_pass_03069096_5394ef1c_concatenated	57560798	0	93653	0	0	0	0	0	0	0	0	0	57467145	0	0	0.0
chopper_filtered_dorado_trimmed_FAZ83542_pass_1344a466_45031b9d_concatenated	57190663	0	148853	0	0	0	0	0	0	0	0	0	57041810	0	0	0.0
chopper_filtered_dorado_trimmed_FBA43334_pass_6846ed3b_6b29293f_concatenated	22177656	0	1220642	0	0	0	0	0	0	0	0	0	20957014	0	0	0.0
chopper_filtered_dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenated	12179686	0	820239	0	0	0	0	0	0	0	0	0	11359447	0	0	0.0
dorado_FBA62655_pass_9d20541a_79aab80e_concatenated	12227517	0	840838	0	0	0	0	0	0	0	0	0	11386679	0	0	0.0
dorado_trimmed_FAZ80247_pass_03069096_5394ef1c_concatenated	58071059	0	295104	0	0	0	0	0	0	0	0	0	57775955	0	0	0.0
dorado_trimmed_FAZ83542_pass_1344a466_45031b9d_concatenated	57885717	0	555734	0	0	0	0	0	0	0	0	0	57329983	0	0	0.0
dorado_trimmed_FBA43334_pass_6846ed3b_6b29293f_concatenated	22251467	0	1259062	0	0	0	0	0	0	0	0	0	20992405	0	0	0.0
dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenated	12226661	0	841057	0	0	0	0	0	0	0	0	0	11385604	0	0	0.0
