Sample	featurecounts-Assigned	featurecounts-percent_assigned	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct	bowtie_2_hisat2-overall_alignment_rate	pychopper-ftp
105119												16.32	
1145973												73.56	
1159793												73.56	
2369511												74.43	
3150732												73.18	
4024149												16.32	
438634												16.8	
459070												73.18	
462389												73.18	
489753												16.8	
FAZ80247_pass_03069096_5394ef1c_concatenated	0.0	0.0	0.255391546702171	48.0	5008.809322293024	4999	40.0	17.971114999999998					
FAZ83542_pass_1344a466_45031b9d_concatenated	0.0	0.0	0.32812747419008303	48.0	5001.153054689509	4999	40.0	18.607865					
FBA22517_pass_d17fa1e0_a6486b6e_concatenated	0.0	0.0	26.899410653854545	63.0	2506.708036005269	2499	40.0	3.9459779999999998					
FBA22660_pass_d1e1158a_77e47f3b_concatenated	0.0	0.0	29.867965782654593	63.0	2510.7963909612663	2499	50.0	5.856129999999999					
FBA43334_pass_6846ed3b_6b29293f_concatenated	0.0	0.0	35.381043075840864	61.0	5023.142206143608	4999	30.0	7.141439					
FBA62655_pass_9d20541a_79aab80e_concatenated	0.0	0.0	30.43544302326889	56.0	10001.561370436586	9999	30.0	3.6536239999999998					
FBA62655_pass_9d20541a_79aab80e_merged			36.04949727359944	60.0	10000.494852111333	9999	50.0	19.893884					
Huh7_B1_Illumina	0.0	0.0											
Huh7_B2_Illumina	0.0	0.0											
PB1_FLNCcDNA	0.0	0.0											
PB2_FLNCcDNA	0.0	0.0											
chopper_filtered_FBA22517_pass_d17fa1e0_a6486b6e_concatenated	0.0	0.0	27.263393461961584	63.0	2506.893834109085	2499	40.0	3.837353					
chopper_filtered_FBA22660_pass_d1e1158a_77e47f3b_concatenated	0.0	0.0	30.12565779133051	63.0	2511.037594498505	2499	50.0	5.731968999999999					
chopper_filtered_dorado_trimmed_FAZ80247_pass_03069096_5394ef1c_concatenated	0.0	0.0	35.30699313710144	48.0	5008.8516102948515	4999	10.0	17.673844					
chopper_filtered_dorado_trimmed_FAZ83542_pass_1344a466_45031b9d_concatenated	0.0	0.0	34.37815254437679	48.0	5001.165379310581	4999	10.0	18.109856					
chopper_filtered_dorado_trimmed_FBA43334_pass_6846ed3b_6b29293f_concatenated	0.0	0.0	62.32697483081262	62.0	5023.072732261657	4999	40.0	7.092066					
chopper_filtered_dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenated	0.0	0.0	50.88198024394216	56.0	10001.571910865167	9999	40.0	3.625384					
dorado_FBA62655_pass_9d20541a_79aab80e_concatenated	0.0	0.0	30.43544302326889	56.0	10001.561370436586	9999	30.0	3.6536239999999998					
dorado_trim_full_length_pychopper_output.FAZ80247_pass_03069096_5394ef1c_concatenated			70.02208975924142	48.0	839.4757287811362	699	20.0	16.142535					
dorado_trimmed_FAZ80247_pass_03069096_5394ef1c_concatenated	0.0	0.0	34.90600768183049	48.0	5008.717508290387	4999	10.0	17.971114999999998					
dorado_trimmed_FAZ83542_pass_1344a466_45031b9d_concatenated	0.0	0.0	33.69665126961216	48.0	5001.138542600132	4999	10.0	18.607865					
dorado_trimmed_FBA43334_fail_6846ed3b_6b29293f_concatenated			55.606711112762795	56.0	5056.988055982356	4999	60.0	1.7637699999999998	1.7637699999999998	1.717034	97.35		
dorado_trimmed_FBA43334_pass_6846ed3b_6b29293f_concatenated	0.0	0.0	61.98883849704151	62.0	5022.947567500051	4999	40.0	7.141439					
dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenated	0.0	0.0	50.576433051474666	56.0	10001.555896419555	9999	40.0	3.6536239999999998					
dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenatedTrimLT-U0-D20W100L100R0			51.561553520289046	56.0	10001.517455281924	9999	50.0	3.637008					
pychopper_stats_output													86.55155633511286
restranded_dorado_trimmed_FBA43334_fail_6846ed3b_6b29293f_concatenated			18.56269917843464	48.0	5308.7864612265985	4999	60.0	0.10260899999999999					
transcriptome_aligned									30.5171	29.475306	96.59		
