Cell_Line,Known_Fusion,Gene1,Gene2,Reference,ensembl_gene_id.x,ensembl_gene_id.y
MCF7,BCAS4::BCAS3,BCAS4,BCAS3,https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub,ENSG00000124243,ENSG00000141376
MCF7,RAD51C::ATXN7,RAD51C,ATXN7,https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub,ENSG00000108384,ENSG00000163635
MCF7,ARFGEF2::SULF2,ARFGEF2,SULF2,https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub,ENSG00000124198,ENSG00000196562
MCF7,SULF2::PRICKLE2,SULF2,PRICKLE2,https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub,ENSG00000196562,ENSG00000163637
MCF7,MYO9B::FCHO1,MYO9B,FCHO1,https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub,ENSG00000099331,ENSG00000130475
MCF7,DEPDC1B::ELOVL7,DEPDC1B,ELOVL7,https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub,ENSG00000035499,ENSG00000164181
MCF7,TEX14::PTPRG,TEX14,PTPRG,https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub,ENSG00000121101,ENSG00000144724
MCF7,ABCA5::PPP4R1L,ABCA5,PPP4R1L,https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub,ENSG00000154265,ENSG00000124224
MCF7,RPS6KB1::VMP1,RPS6KB1,VMP1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000108443,ENSG00000062716
MCF7,GCN1L1::MSI1,GCN1L1,MSI1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,NA,ENSG00000135097
MCF7,AC099850.1::VMP1,AC099850.1,VMP1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,NA,ENSG00000062716
MCF7,SMARCA4::CARM1,SMARCA4,CARM1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000127616,ENSG00000142453
MCF7,SLC25A24::NBPF6,SLC25A24,NBPF6,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000284468,ENSG00000186086
MCF7,SLC25A24::NBPF6,SLC25A24,NBPF6,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000085491,ENSG00000186086
MCF7,USP31::CRYL1,USP31,CRYL1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000103404,ENSG00000165475
MCF7,TBL1XR1::RGS17,TBL1XR1,RGS17,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000177565,ENSG00000091844
MCF7,TAF4::BRIP1,TAF4,BRIP1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000280529,ENSG00000136492
MCF7,TAF4::BRIP1,TAF4,BRIP1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000130699,ENSG00000136492
MCF7,RPS6KB1::DIAPH3,RPS6KB1,DIAPH3,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000108443,ENSG00000139734
MCF7,AHCYL1::RAD51C,AHCYL1,RAD51C,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000168710,ENSG00000108384
MCF7,C16orf45::ABCC1,C16orf45,ABCC1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,NA,ENSG00000278183
MCF7,C16orf45::ABCC1,C16orf45,ABCC1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,NA,ENSG00000103222
MCF7,C16orf62::IQCK,C16orf62,IQCK,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,NA,ENSG00000174628
MCF7,TXLNG::SYAP1,TXLNG,SYAP1,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5,ENSG00000086712,ENSG00000169895
