Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
ABL1--PHF20,PHF20,ABL1,PR-f4mRi7,4,109,0.0580777555154448,1,0,3,+/+,+/+,out-of-frame
ABL1--POLR3G,ABL1,POLR3G,PR-f4mRi7,13,196,0.1887527054251956,3,5,5,+/+,+/+,out-of-frame
ANKIB1--DTX2P1,ANKIB1,DTX2P1,PR-f4mRi7,15,156,0.217791583182918,4,11,0,+/+,+/+,.
ANKIB1--DTX2P1-UPK3BP1-PMS2P11,ANKIB1,DTX2P1-UPK3BP1-PMS2P11,PR-f4mRi7,17,156,0.2468304609406404,4,13,0,+/+,+/+,.
ANKIB1--DTX2P1-UPK3BP1-PMS2P11,DTX2P1-UPK3BP1-PMS2P11,ANKIB1,PR-f4mRi7,32,170,0.4646220441235584,12,7,13,+/+,+/+,.
ANKIB1--PTPRN2,ANKIB1,PTPRN2,PR-f4mRi7,6,189,0.0871166332731672,2,0,4,+/+,-/-,in-frame
ANKIB1--PTPRN2,ANKIB1,PTPRN2,PR-f4mRi7,23,201,0.3339470942138076,4,10,9,+/+,-/-,out-of-frame
ANTXR2--KLHL3,ANTXR2,KLHL3,PR-f4mRi7,2,18,0.0290388777577224,0,2,0,-/+,-/-,.
ATP6V0D1--RBM19,ATP6V0D1,RBM19,PR-f4mRi7,37,658,0.5372192385178644,12,14,11,-/-,-/-,out-of-frame
CCDC173--DCAF12,DCAF12,CFAP210,PR-f4mRi7,3,261,0.0435583166365836,1,1,1,-/-,-/+,out-of-frame
CELSR2--SARS1,SARS1,CELSR2,PR-f4mRi7,15,455,0.217791583182918,2,6,7,+/+,+/+,out-of-frame
COBLL1--COBLL1,COBLL1,COBLL1,PR-f4mRi7,6,274,0.0871166332731672,2,2,2,-/-,-/+,out-of-frame
DTX2P1--PIEZO2,DTX2P1,PIEZO2,PR-f4mRi7,19,22,0.2758693386983628,7,3,9,+/.,-/.,.
DTX2P1-UPK3BP1-PMS2P11--PIEZO2,DTX2P1-UPK3BP1-PMS2P11,PIEZO2,PR-f4mRi7,19,22,0.2758693386983628,7,3,9,+/.,-/.,.
DUSP15--TTLL9,DUSP15,TTLL9,PR-f4mRi7,6,25,0.0871166332731672,2,3,1,-/-,+/-,stop-codon
EIF4A1P7--UGGT2,UGGT2,EIF4A1P7,PR-f4mRi7,4,107,0.0580777555154448,1,3,0,-/-,+/+,out-of-frame
FIP1L1--IFITM3P1,FIP1L1,IFITM3P1,PR-f4mRi7,4,713,0.0580777555154448,1,1,2,+/+,+/+,out-of-frame
FNDC3B--PLD1,FNDC3B,PLD1,PR-f4mRi7,6,855,0.0871166332731672,0,4,2,+/+,-/+,.
FRY--FRY,FRY,FRY,PR-f4mRi7,3,41,0.0435583166365836,2,1,0,+/+,+/+,out-of-frame
FRY--FRY-AS1,FRY,FRY-AS1,PR-f4mRi7,3,32,0.0435583166365836,2,0,1,+/+,-/+,out-of-frame
GAREM1--SDHAF3,GAREM1,SDHAF3,PR-f4mRi7,117,546,1.6987743488267604,52,34,31,-/-,+/+,in-frame
GDF5-AS1--UQCC1,UQCC1,GDF5-AS1,PR-f4mRi7,17,294,0.2468304609406404,0,17,0,-/-,+/+,out-of-frame
GNE--XKR9,XKR9,GNE,PR-f4mRi7,22,50,0.3194276553349464,7,4,11,+/.,-/.,.
GNL3L--GPATCH1,GPATCH1,GNL3L,PR-f4mRi7,7,76,0.1016360721520284,3,1,3,+/+,+/-,out-of-frame
GSTA2--SLC22A23,SLC22A23,GSTA2,PR-f4mRi7,2,318,0.0290388777577224,1,0,1,-/-,-/+,out-of-frame
HECTD1--HECTD1,HECTD1,HECTD1,PR-f4mRi7,16,1169,0.2323110220617792,6,7,3,-/-,-/+,out-of-frame
IGFBP7--PCAT4,IGFBP7,PCAT4,PR-f4mRi7,203,495,2.9474460924088235,58,87,58,-/-,+/+,out-of-frame
IGFBP7-AS1--PCAT4,IGFBP7-AS1,PCAT4,PR-f4mRi7,2,497,0.0290388777577224,0,2,0,+/-,+/+,.
ILF3--ILF3,ILF3,ILF3,PR-f4mRi7,12,1823,0.1742332665463344,2,5,5,+/+,+/-,.
IPO11--KIAA0825,IPO11,KIAA0825,PR-f4mRi7,15,147,0.217791583182918,8,4,3,+/+,-/-,in-frame
KIF20B--KIF20B,KIF20B,KIF20B,PR-f4mRi7,26,143,0.3775054108503912,12,14,0,+/+,+/+,in-frame
KRT8--VIM,KRT8,VIM,PR-f4mRi7,4,28378,0.0580777555154448,1,1,2,-/-,+/+,in-frame
LEPROTL1--SARAF,SARAF,LEPROTL1,PR-f4mRi7,26,2074,0.3775054108503912,15,3,8,-/-,+/-,out-of-frame
LINC01145--PDE4DIPP2,PDE4DIPP2,LINC01145,PR-f4mRi7,2,112,0.0290388777577224,1,1,0,-/-,-/+,.
