simulation,gene_info,depth,Sequence_Identity,Spiked_ReadSupp
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000210313.8-ENST00000656197.1,100GB,85%,69
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000215882.10-ENST00000407142.5,100GB,85%,169
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000254090.9-ENST00000689593.1,100GB,85%,68
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000256722.10-ENST00000497833.1-ENST00000551155.1,100GB,85%,55
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000263382.8-ENST00000598059.5,100GB,85%,44
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000265563.13-ENST00000338981.7,100GB,85%,267
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000276410.7-ENST00000682700.1,100GB,85%,74
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000276573.11-ENST00000675221.1-ENST00000495970.1,100GB,85%,90
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000278979.7-ENST00000535842.6,100GB,85%,60
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000293195.10-ENST00000612771.5,100GB,85%,66
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000294973.11-ENST00000687045.1,100GB,85%,52
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000298428.14-ENST00000298428.14,100GB,85%,69
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000299540.6-ENST00000456036.2,100GB,85%,62
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000301149.8-ENST00000547122.5,100GB,85%,60
