Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
ANO1--PPFIA1,PPFIA1,ANO1,PR-zuUaCY,58,206,1.0720927474090152,9,35,14,+/+,+/-,.
ANO1--SHANK2,SHANK2,ANO1,PR-zuUaCY,82,246,1.51571733254378,18,46,18,-/-,+/-,out-of-frame
ASPM--ASPM,ASPM,ASPM,PR-zuUaCY,63,348,1.1645145359787579,29,34,0,-/-,-/-,in-frame
BPIFB4--SAMM50,SAMM50,BPIFB4,PR-zuUaCY,139,319,2.569325722238847,57,37,45,+/+,+/+,in-frame
CCDC158--SHROOM3,SHROOM3,CCDC158,PR-zuUaCY,6,16,0.11090614628369123,3,2,1,+/+,-/+,out-of-frame
CTTN--SHANK2,SHANK2,CTTN,PR-zuUaCY,18,10722,0.3327184388510737,5,7,6,-/-,+/+,in-frame
IMMP2L--KMT2E,KMT2E,IMMP2L,PR-zuUaCY,13,13,0.240296650281331,3,2,8,+/+,-/+,.
IRF1--TBC1D32,TBC1D32,IRF1,PR-zuUaCY,3,43,0.05545307314184562,0,3,0,-/-,-/-,.
LINC02584--SHANK2,SHANK2,LINC02584,PR-zuUaCY,9,183,0.16635921942553686,2,5,2,-/-,-/-,out-of-frame
MAP3K13--SENP2,MAP3K13,SENP2,PR-zuUaCY,20,121,0.36968715427897075,10,3,7,+/+,+/+,in-frame
PMS2P7--SDHAF3,PMS2P7,SDHAF3,PR-zuUaCY,3,413,0.05545307314184562,2,0,1,+/+,+/+,.
PPFIA1--SHANK2,PPFIA1,SHANK2,PR-zuUaCY,53,113,0.9796709588392726,18,9,26,+/+,-/-,.
PPFIA1--SHANK2,PPFIA1,SHANK2,PR-zuUaCY,25,1039,0.46210894284871346,7,7,11,+/+,-/-,out-of-frame
RXYLT1--SRGAP1,SRGAP1,RXYLT1,PR-zuUaCY,123,1199,2.2735759988156703,42,59,22,+/+,+/+,in-frame
SAP130--UGP2,UGP2,SAP130,PR-zuUaCY,14,295,0.25878100799527953,4,3,7,+/+,-/+,out-of-frame
