Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
ACIN1--ACIN1,ACIN1,ACIN1,PR-zkqqQA,59,679,0.8183272232029666,15,44,0,-/-,-/-,in-frame
ADAM32--ADAM9,ADAM32,ADAM9,PR-zkqqQA,5,4,0.0693497646782175,2,0,3,+/+,+/+,.
C3--CD70,CD70,C3,PR-zkqqQA,54,161,0.7489774585247491,9,32,13,-/.,-/.,.
CCDC157--HORMAD2,CCDC157,HORMAD2,PR-zkqqQA,10,95,0.138699529356435,2,6,2,+/+,+/+,.
CCDC157--LIF-AS1,CCDC157,LIF-AS1,PR-zkqqQA,5,104,0.0693497646782175,0,2,3,+/+,+/+,.
CCDC3--OPTN,OPTN,CCDC3,PR-zkqqQA,30,49,0.41609858806930505,4,6,20,+/+,-/+,.
CFL1--LDHA,CFL1,LDHA,PR-zkqqQA,27,63966,0.37448872926237453,3,4,20,-/+,+/+,.
CGB5--NTF6G,NTF6G,CGB5,PR-zkqqQA,27,434,0.37448872926237453,5,1,21,+/+,+/+,.
CHRNG--PDE4DIPP4,PDE4DIPP4,CHRNG,PR-zkqqQA,4,30,0.055479811742574006,0,2,2,-/.,+/.,.
EIF4E2--NOTCH2NLC,NOTCH2NLC,EIF4E2,PR-zkqqQA,36,670,0.49931830568316604,6,2,28,+/+,+/-,out-of-frame
FBXO30-DT--OPTN,OPTN,EPM2A-DT,PR-zkqqQA,4,1054,0.055479811742574006,4,0,0,+/+,+/+,out-of-frame
GIGYF2--ST8SIA4,GIGYF2,ST8SIA4,PR-zkqqQA,10,254,0.138699529356435,3,4,3,+/+,-/+,out-of-frame
HERC4--LCOR,LCOR,HERC4,PR-zkqqQA,22,736,0.305138964584157,7,4,11,+/-,-/-,.
HNRNPA2B1--TAX1BP1,TAX1BP1,HNRNPA2B1,PR-zkqqQA,2,17605,0.027739905871287003,0,1,1,+/+,-/-,in-frame
IMMT--PTCD3,IMMT,PTCD3,PR-zkqqQA,40,833,0.55479811742574,6,4,30,-/-,+/-,out-of-frame
JMJD1C--NRBF2,JMJD1C,NRBF2,PR-zkqqQA,37,161,0.5131882586188096,6,20,11,-/-,+/-,.
KRT8--VIM,KRT8,VIM,PR-zkqqQA,13,55610,0.18030938816336553,1,4,8,-/-,+/+,in-frame
LINC00632--SPANXA2-OT1,SPANXA2-OT1,LINC00632,PR-zkqqQA,3,128,0.04160985880693051,3,0,0,+/+,+/-,.
LINC01145--PDE4DIPP2,PDE4DIPP2,LINC01145,PR-zkqqQA,2,29,0.027739905871287003,1,1,0,-/-,-/+,.
LINC02006--LMBR1L,LMBR1L,LINC02006,PR-zkqqQA,3,19,0.04160985880693051,1,1,1,-/-,-/+,.
MINPP1--NUTM2A-AS1,NUTM2A-AS1,MINPP1,PR-zkqqQA,4,135,0.055479811742574006,0,1,3,-/-,+/+,.
PDE4DIPP4--TIGD1,TIGD1,PDE4DIPP4,PR-zkqqQA,5,30,0.0693497646782175,2,0,3,-/-,-/+,.
RERG--ZNF652,RERG,ZNF652,PR-zkqqQA,5,44,0.0693497646782175,0,1,4,-/.,-/.,.
ZNF302--ZNF765,ZNF302,ZNF765,PR-zkqqQA,5,237,0.0693497646782175,2,1,2,+/+,+/+,out-of-frame
ZNF302--ZNF765,ZNF302,ZNF765,PR-zkqqQA,19,190,0.26352910577722655,7,4,8,+/+,+/+,stop-codon
