Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
ACIN1--ACIN1,ACIN1,ACIN1,PR-LfW3kz,78,1020,1.2792334990317924,21,57,0,-/-,-/-,in-frame
ADGRE1--KDM4B,KDM4B,ADGRE1,PR-LfW3kz,7,101,0.11480300632336599,2,2,3,+/+,+/-,out-of-frame
ANO2--FOXK2,FOXK2,ANO2,PR-LfW3kz,3,345,0.04920128842429971,1,1,1,+/+,-/-,.
ANP32A--C3,C3,ANP32A,PR-LfW3kz,6,8727,0.09840257684859942,2,3,1,-/+,-/-,.
APOA2--MIF-AS1,MIF-AS1,APOA2,PR-LfW3kz,12,76765,0.19680515369719884,2,1,9,-/-,-/-,.
ATP6AP1--ATP6AP1,ATP6AP1,ATP6AP1,PR-LfW3kz,61,951,1.0004261979607607,48,13,0,+/+,+/+,in-frame
AURKA--CSTF1,AURKA,CSTF1,PR-LfW3kz,28,921,0.45921202529346394,13,12,3,-/-,+/-,out-of-frame
BOLA2B--SMG1P5,BOLA2B,SMG1P5,PR-LfW3kz,9,1334,0.14760386527289912,0,2,7,-/-,-/-,out-of-frame
DPYD--GDAP2,GDAP2,DPYD,PR-LfW3kz,42,124,0.6888180379401959,11,12,19,-/-,-/+,out-of-frame
DPYD--WDR3,WDR3,DPYD,PR-LfW3kz,4,168,0.06560171789906628,2,2,0,+/+,-/-,out-of-frame
FGF12--MB21D2,MB21D2,FGF12,PR-LfW3kz,2,21,0.03280085894953314,1,1,0,-/-,-/+,out-of-frame
FNDC3B--PRKCI,FNDC3B,PRKCI,PR-LfW3kz,3,835,0.04920128842429971,0,2,1,+/+,+/+,in-frame
FXR2--TP53,TP53,FXR2,PR-LfW3kz,58,238,0.951224909536461,21,25,12,-/-,-/-,out-of-frame
HCN2--LONP1,LONP1,HCN2,PR-LfW3kz,44,1191,0.721618896889729,7,21,16,-/-,+/+,out-of-frame
HORMAD2--NF2,NF2,HORMAD2,PR-LfW3kz,82,303,1.3448352169308588,29,30,23,+/+,+/+,in-frame
HORMAD2--NF2,NF2,HORMAD2,PR-LfW3kz,96,337,1.5744412295775907,23,32,41,+/+,+/+,out-of-frame
HUS1--TNS3,TNS3,HUS1,PR-LfW3kz,4,903,0.06560171789906628,1,2,1,-/-,-/-,out-of-frame
IGF2BP2--TFEB,IGF2BP2,TFEB,PR-LfW3kz,177,728,2.902876017033683,34,75,68,-/-,-/-,in-frame
IGF2BP2--TFEB,IGF2BP2,TFEB,PR-LfW3kz,119,1397,1.9516511074972218,4,4,111,-/-,-/-,out-of-frame
MYH9--MYH9,MYH9,MYH9,PR-LfW3kz,46,715,0.7544197558392622,10,33,3,-/+,-/-,.
MYH9--MYH9,MYH9,MYH9,PR-LfW3kz,69,732,1.1316296337588934,26,28,15,-/-,-/+,out-of-frame
PHF21A--RELN,RELN,PHF21A,PR-LfW3kz,4,576,0.06560171789906628,2,1,1,-/-,-/-,out-of-frame
PPCS--PPCS,PPCS,PPCS,PR-LfW3kz,12,237,0.19680515369719884,2,10,0,+/+,+/+,out-of-frame
PRKCI--SKIL,SKIL,PRKCI,PR-LfW3kz,6,756,0.09840257684859942,1,2,3,+/+,+/+,in-frame
RFC1--SMIM14,RFC1,SMIM14,PR-LfW3kz,8,817,0.13120343579813257,1,4,3,-/-,-/-,in-frame
RPS6KA3--RPS6KA3,RPS6KA3,RPS6KA3,PR-LfW3kz,351,645,5.756550745643066,226,97,28,-/-,-/+,out-of-frame
RPS6KA3--RPS6KA3,RPS6KA3,RPS6KA3,PR-LfW3kz,17,27,0.2788073010710317,6,9,2,-/-,-/-,.
TUBB--TUBB4B,TUBB4B,TUBB,PR-LfW3kz,3,24043,0.04920128842429971,0,0,3,+/+,+/+,in-frame
WSB2--WSB2,WSB2,WSB2,PR-LfW3kz,4,363,0.06560171789906628,1,1,2,-/-,-/+,out-of-frame
