,CanonicalFusionName,Gene1,Gene2,ProfileID,ModelID,TotalReadsSupportingFusion,TotalFusionCoverage,FFPM,SplitReads1,SplitReads2,DiscordantMates,Strand1,Strand2,ReadingFrame
0,AAAS--RARG,RARG (ENSG00000172819.17),AAAS (ENSG00000094914.14),PR-vFBZ2h,ACH-000001,11,585,0.21438026572745764,2,1,8,-/-,-/-,out-of-frame
1,AC008984.2--PRPF31,PRPF31 (ENSG00000105618.14),AC008984.2 (ENSG00000275210.1),PR-vFBZ2h,ACH-000001,20,3844,0.38978230132265024,18,0,2,+/+,-/+,out-of-frame
2,AC016745.3--CBWD2,CBWD2 (ENSG00000136682.15),AC016745.3 (ENSG00000234997.2),PR-vFBZ2h,ACH-000001,16,867,0.31182584105812017,4,4,8,+/+,+/-,out-of-frame
3,ACOT7--CAMTA1,ACOT7 (ENSG00000097021.20),CAMTA1 (ENSG00000171735.19),PR-vFBZ2h,ACH-000001,8,794,0.15591292052906008,1,2,5,-/-,+/-,out-of-frame
4,ADK--LRMDA,LRMDA (ENSG00000148655.15),ADK (ENSG00000156110.15),PR-vFBZ2h,ACH-000001,28,330,0.5456952218517104,3,13,12,+/+,+/+,out-of-frame
5,ALKBH4--CUX1,CUX1 (ENSG00000257923.12),ALKBH4 (ENSG00000160993.4),PR-vFBZ2h,ACH-000001,55,350,1.071901328637288,14,20,21,+/+,-/+,out-of-frame
6,ANK3--CCDC6,CCDC6 (ENSG00000108091.11),ANK3 (ENSG00000151150.22),PR-vFBZ2h,ACH-000001,46,3035,0.8964992930420955,3,3,40,-/-,-/-,in-frame
7,ANK3--CCDC6,CCDC6 (ENSG00000108091.11),ANK3 (ENSG00000151150.22),PR-vFBZ2h,ACH-000001,67,899,1.3057707094308784,19,20,28,-/-,-/-,out-of-frame
8,ANKS1A--PPARD,PPARD (ENSG00000112033.14),ANKS1A (ENSG00000064999.15),PR-vFBZ2h,ACH-000001,16,294,0.31182584105812017,6,4,6,+/+,+/+,.
9,APBB2--RBM47,RBM47 (ENSG00000163694.15),APBB2 (ENSG00000163697.17),PR-vFBZ2h,ACH-000001,32,370,0.6236516821162403,16,5,11,-/-,-/-,.
10,APLP2--PRDM10,PRDM10 (ENSG00000170325.16),APLP2 (ENSG00000084234.18),PR-vFBZ2h,ACH-000001,21,22,0.4092714163887827,6,4,11,-/.,+/.,.
11,AREL1--JDP2,AREL1 (ENSG00000119682.18),JDP2 (ENSG00000140044.13),PR-vFBZ2h,ACH-000001,16,646,0.31182584105812017,0,7,9,-/-,+/+,.
12,AREL1--LINC01220,AREL1 (ENSG00000119682.18),LINC01220 (.),PR-vFBZ2h,ACH-000001,18,241,0.3508040711903852,2,6,10,-/-,./+,.
13,ARHGAP11B--OTUD7A,ARHGAP11B (ENSG00000285077.2),OTUD7A (ENSG00000169918.10),PR-vFBZ2h,ACH-000001,4,88,0.07795646026453004,1,0,3,+/+,-/-,.
14,ATG16L2--IL18BP,IL18BP (ENSG00000137496.18),ATG16L2 (ENSG00000168010.11),PR-vFBZ2h,ACH-000001,2,57,0.03897823013226502,1,0,1,+/.,+/.,.
15,ATP5F1CP1--FBXO34,FBXO34 (ENSG00000178974.11),ATP5F1CP1 (.),PR-vFBZ2h,ACH-000001,4,172,0.07795646026453004,2,1,1,+/+,./+,.
16,BABAM2--TOGARAM2,TOGARAM2 (ENSG00000189350.13),BABAM2 (ENSG00000158019.21),PR-vFBZ2h,ACH-000001,9,153,0.1754020355951926,1,1,7,+/+,+/+,.
17,BCS1L--POLR1A,BCS1L (ENSG00000074582.15),POLR1A (ENSG00000068654.17),PR-vFBZ2h,ACH-000001,11,219,0.21438026572745764,2,3,6,+/+,-/-,out-of-frame
18,BEAN1--NUP98,NUP98 (ENSG00000110713.17),BEAN1 (ENSG00000166546.14),PR-vFBZ2h,ACH-000001,18,178,0.3508040711903852,1,8,9,-/-,+/+,.
19,BEAN1-AS1--NUP98,BEAN1-AS1 (ENSG00000261656.6),NUP98 (ENSG00000110713.17),PR-vFBZ2h,ACH-000001,5,11,0.09744557533066256,2,0,3,-/-,-/+,.
20,BMP7--RAE1,RAE1 (ENSG00000101146.13),BMP7 (ENSG00000101144.13),PR-vFBZ2h,ACH-000001,15,1175,0.2923367259919877,4,2,9,+/+,-/+,out-of-frame
21,BMP7--SPO11,BMP7 (ENSG00000101144.13),SPO11 (.),PR-vFBZ2h,ACH-000001,18,2449,0.3508040711903852,4,8,6,-/-,./-,out-of-frame
22,BMP7--ZBP1,BMP7 (ENSG00000101144.13),ZBP1 (.),PR-vFBZ2h,ACH-000001,102,2059,1.9878897367455162,27,23,52,-/-,./-,out-of-frame
23,CACHD1--ROR1,CACHD1 (ENSG00000158966.16),ROR1 (ENSG00000185483.12),PR-vFBZ2h,ACH-000001,27,122,0.5262061067855778,4,7,16,+/+,+/+,in-frame
24,CACNA1B--RP11-356O24.1,CACNA1B (ENSG00000148408.13),RP11-356O24.1 (.),PR-vFBZ2h,ACH-000001,2,3,0.03897823013226502,1,0,1,+/+,./+,out-of-frame
25,CAMTA1--KCNAB2,CAMTA1 (ENSG00000171735.19),KCNAB2 (ENSG00000069424.15),PR-vFBZ2h,ACH-000001,38,3061,0.7405863725130355,8,6,24,+/+,+/+,out-of-frame
26,CCDC200--RP11-438E8.2,RP11-438E8.2 (ENSG00000257368.2),CCDC200 (ENSG00000236383.8),PR-vFBZ2h,ACH-000001,6,120,0.11693469039679506,0,2,4,+/+,-/-,.
27,CDK5RAP2--GAPDHP72,CDK5RAP2 (ENSG00000136861.18),GAPDHP72 (.),PR-vFBZ2h,ACH-000001,17,418,0.3313149561242527,4,6,7,-/-,./-,out-of-frame
28,CDKN3--FBXO34,FBXO34 (ENSG00000178974.11),CDKN3 (ENSG00000100526.20),PR-vFBZ2h,ACH-000001,73,3180,1.4227053998276733,7,10,56,+/+,+/+,.
29,CENPVL3--STYXL1,STYXL1 (ENSG00000127952.17),CENPVL3 (.),PR-vFBZ2h,ACH-000001,9,15,0.1754020355951926,2,3,4,-/-,./-,.
30,CEP128--DIO2,CEP128 (ENSG00000100629.17),DIO2 (ENSG00000211448.13),PR-vFBZ2h,ACH-000001,3,68,0.05846734519839753,0,2,1,-/-,-/-,out-of-frame
31,CEP250--ROMO1,ROMO1 (ENSG00000125995.16),CEP250 (ENSG00000126001.16),PR-vFBZ2h,ACH-000001,10,1618,0.19489115066132512,1,2,7,+/+,+/+,out-of-frame
32,CH507-513H4.8--NFS1,NFS1 (ENSG00000244005.13),CH507-513H4.8 (ENSG00000286012.1),PR-vFBZ2h,ACH-000001,7,381,0.1364238054629276,4,1,2,-/-,+/+,out-of-frame
33,CMB9-22P13.1--FRMD8,CMB9-22P13.1 (ENSG00000173727.12),FRMD8 (ENSG00000126391.14),PR-vFBZ2h,ACH-000001,16,750,0.31182584105812017,2,11,3,+/+,+/+,.
34,CNNM2--GBF1,CNNM2 (ENSG00000148842.18),GBF1 (ENSG00000107862.6),PR-vFBZ2h,ACH-000001,2,377,0.03897823013226502,1,0,1,+/+,+/+,out-of-frame
35,CNOT10--OSBPL10,CNOT10 (ENSG00000182973.19),OSBPL10 (ENSG00000144645.15),PR-vFBZ2h,ACH-000001,40,267,0.7795646026453005,4,13,23,+/+,-/+,out-of-frame
36,COL2A1--SLC38A1,SLC38A1 (ENSG00000111371.16),COL2A1 (ENSG00000139219.19),PR-vFBZ2h,ACH-000001,47,1158,0.915988408108228,8,26,13,-/-,-/-,out-of-frame
37,CPD--LINC02565,CPD (ENSG00000108582.12),LINC02565 (.),PR-vFBZ2h,ACH-000001,16,24,0.31182584105812017,9,1,6,+/+,./-,.
