Cell_Line	Known_Fusion	Gene1	Gene2	Reference	GENEID.x	v110_name.x	GENEID.y	v110_name.y
MCF7	BCAS4::BCAS3	BCAS4	BCAS3	https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub	ENSG00000124243	BCAS4	ENSG00000141376	BCAS3
MCF7	RAD51C::ATXN7	RAD51C	ATXN7	https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub	ENSG00000108384	RAD51C	ENSG00000163635	ATXN7
MCF7	ARFGEF2::SULF2	ARFGEF2	SULF2	https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub	ENSG00000124198	ARFGEF2	ENSG00000196562	SULF2
MCF7	SULF2::PRICKLE2	SULF2	PRICKLE2	https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub	ENSG00000196562	SULF2	ENSG00000163637	PRICKLE2
MCF7	MYO9B::FCHO1	MYO9B	FCHO1	https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub	ENSG00000099331	MYO9B	ENSG00000130475	FCHO1
MCF7	DEPDC1B::ELOVL7	DEPDC1B	ELOVL7	https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub	ENSG00000035499	DEPDC1B	ENSG00000164181	ELOVL7
MCF7	TEX14::PTPRG	TEX14	PTPRG	https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub	ENSG00000121101	TEX14	ENSG00000144724	PTPRG
MCF7	ABCA5::PPP4R1L	ABCA5	PPP4R1L	https://www.sciencedirect.com/science/article/pii/S2210776211001943?via%3Dihub	ENSG00000154265	ABCA5	ENSG00000124224	PPP4R1L
MCF7	RPS6KB1::VMP1	RPS6KB1	VMP1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000108443	RPS6KB1	ENSG00000062716	VMP1
MCF7	GCN1L1::MSI1	GCN1L1	MSI1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000089154	GCN1	ENSG00000135097	MSI1
MCF7	AC099850.1::VMP1	AC099850.1	VMP1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000224738	AC099850.1	ENSG00000062716	VMP1
MCF7	SMARCA4::CARM1	SMARCA4	CARM1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000127616	SMARCA4	ENSG00000142453	CARM1
MCF7	SLC25A24::NBPF6	SLC25A24	NBPF6	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000085491	SLC25A24	ENSG00000186086	NBPF6
MCF7	USP31::CRYL1	USP31	CRYL1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000103404	USP31	ENSG00000165475	CRYL1
MCF7	TBL1XR1::RGS17	TBL1XR1	RGS17	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000177565	TBL1XR1	ENSG00000091844	RGS17
MCF7	TAF4::BRIP1	TAF4	BRIP1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02588-5	ENSG00000130699	TAF4	ENSG00000136492	BRIP1
