Source	supporting reads information	fusion.gene.id	support num	rank class	recall_category	control	depth	Sequence_Identity	fusionType
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q85	1c4b6368-7564-26b8-d39b-33ac3f29f9c3;1ae1b820-0585-c40c-7c65-84358cfb75a8;87a5ef16-c0a6-84ad-6bcb-581f6504c305	ENSG00000197249:ENSG00000156508	3	flag = 3: Low Confidence Fusion	False_Call	negative	10GB	85%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q85	de0045d3-5d9c-a7e9-4803-4311f409c941;987b5229-9da1-3edc-7bc4-c6e5b9395ff7;19f033b5-3145-e467-5008-3c367fe64772;eac1aad8-1ec5-a4b2-f8f7-736382ad66c0;11e1c3f9-0297-6305-4f88-a46ab7c4cdf7;a9fa3733-3acf-9fc9-261e-5857ce9a9f60;390bfee5-3f96-5991-f782-cca5ee60c25a;8a46fd00-2afd-dd26-569c-176d80648e24;42c10c50-46d0-cb38-16f2-b575f245117a;910693dc-f0ac-bf87-a11f-27fc45c54062;417287ff-01e6-9482-0527-2dec33296af6;2b7b8e8b-759b-0ffc-919c-7d070d062a1e	ENSG00000269242:ENSG00000147403	12	flag = 4: Medium Confidence Fusion	False_Call	negative	10GB	85%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q85	ebdb31cf-02c8-85e5-b675-2ebdf9b53c54;84172bb3-1eeb-8bee-4a7b-8a76b8bc4cb5;ee317a25-a24a-e4d7-d353-0c8fb10ff93d	ENSG00000167526:ENSG00000163631	3	flag = 5: High Confidence Fusion	False_Call	negative	10GB	85%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q85	b046f626-e987-0713-5e76-d514c83f41d7;837024ff-a3eb-4d4c-19a1-62163e53bb56	ENSG00000204131:ENSG00000133112	2	flag = 3: Low Confidence Fusion	False_Call	negative	10GB	85%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q85	dbb5c4c6-985b-40c4-97d7-f3b1d11513dc;351bfe10-a8ac-da58-50b9-75b7c76f8749;53b39d6c-6cf7-e874-2a1d-94bb30d38063	ENSG00000145192:ENSG00000163631	3	flag = 5: High Confidence Fusion	False_Call	negative	10GB	85%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q85	23601da9-5052-6a8f-af1c-56b7af25f8b6;f01860ca-a705-1c27-a9b3-f891650fe1dc	ENSG00000197249:ENSG00000163631	2	flag = 5: High Confidence Fusion	False_Call	negative	10GB	85%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q85	840eedde-ac79-be3e-5cb7-732279f1b9de;fe9011a0-2da8-d544-4de7-c27cccc3bbb1	ENSG00000100412:ENSG00000125691	2	flag = 3: Low Confidence Fusion	False_Call	negative	10GB	85%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q85	1421e3de-a1a7-b0f1-0cee-c34ca4272638;b0d7cae4-f669-c42c-1d5d-648d17a7fb53	ENSG00000197249:ENSG00000147403	2	flag = 3: Low Confidence Fusion	False_Call	negative	10GB	85%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q85	09ac9868-2f23-c3b0-b766-e5106be8df42;26532814-5b08-ba58-695a-4b5d0136c251	ENSG00000133112:ENSG00000187134	2	flag = 3: Low Confidence Fusion	False_Call	negative	10GB	85%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q85	2aa2b63b-534d-5523-911b-e773450cb80f;529d0b9f-bc28-4253-1772-7a78a1680cd0	ENSG00000091513:ENSG00000089157	2	flag = 5: High Confidence Fusion	False_Call	negative	10GB	85%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q85	5f4e495d-4a92-167b-38c2-04249ec2dd6f;df5eea64-7e78-9240-834b-0def917e09a5	ENSG00000156508:ENSG00000167526	2	flag = 3: Low Confidence Fusion	False_Call	negative	10GB	85%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q85	7735bb72-803d-d5fe-5eb4-b106e53a4597;6bcdf9e0-cea7-bc87-a48a-468b09942bf6	ENSG00000197249:ENSG00000142541	2	flag = 3: Low Confidence Fusion	False_Call	negative	10GB	85%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q90	f96d0150-d7ce-625e-9015-768aa8446b0e;fc529012-b515-3dc9-6803-c54db41b1b8c;bf81ac21-887d-a590-7171-5f170fae37f9;2cd03fc4-0ebe-9169-f1ed-70095a2e978e;2a5d782c-5883-a710-a3de-657ecfb9820d;b2a9eaa6-25bb-f8bb-eb20-d2d21b8bba5e;55fb040d-58e6-08a1-730f-cdbbda7c98cd;288d7bfa-85a9-762c-7d93-ed098b942a25;454d0c99-d2fd-78a9-b061-99095713f3fc;48ee8d7b-ecc4-96d1-f606-4006b2d4895b;34dcb524-48ee-7366-5555-296b3f68be68;0fc36610-adac-2718-4e46-16417a383440;699eb5d1-1c0d-c71e-8593-94e9b855e0cc;8ad09b65-1d9d-2678-09e5-048f8843dc01;492df68b-1e9b-3049-d053-6d116a647aae;2a2da563-231a-fe32-bcd1-42f7921f4a3a;0722cb06-27ba-ce79-abb3-4736e4149584	ENSG00000269242:ENSG00000147403	17	flag = 3: Low Confidence Fusion	False_Call	negative	10GB	90%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q90	0557ae13-2e8a-c2f4-0807-dd135c139811;14892367-653b-0468-db2f-7ad48af22149	ENSG00000087086:ENSG00000221983	2	flag = 5: High Confidence Fusion	False_Call	negative	10GB	90%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q90	2111939d-2968-0133-20db-df632b824378;dfd2c353-fd86-4427-f531-e94289ee9c89	ENSG00000118137:ENSG00000231500	2	flag = 5: High Confidence Fusion	False_Call	negative	10GB	90%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q90	032694a8-33b8-7189-2f6c-58d8f6df624f;4368350c-c66c-b2d4-c6cd-70d92170de26	ENSG00000156508:ENSG00000131469	2	flag = 3: Low Confidence Fusion	False_Call	negative	10GB	90%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q90	3dba6555-08a4-10ed-dd2a-42a75e2d5387;66f6e999-f797-3a01-eacc-7c0a522b3a1d	ENSG00000156508:ENSG00000167770	2	flag = 3: Low Confidence Fusion	False_Call	negative	10GB	90%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q90	e4604dab-0427-ac20-3180-bb8027540fed;9aa76434-3347-e84d-2f90-dacbc7bf13fd	ENSG00000156508:ENSG00000133112	2	flag = 3: Low Confidence Fusion	False_Call	negative	10GB	90%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q90	d1222340-7a82-063b-0ee7-49f90bb5f8fa;74c54a1e-71ca-0713-6916-898308db46ec	ENSG00000091583:ENSG00000167526	2	flag = 4: Medium Confidence Fusion	False_Call	negative	10GB	90%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q90	a4387de7-9e65-49f9-9c03-431f287dfb5a;b78da251-cf81-3f6d-7706-d97b597dfe9f	ENSG00000087086:ENSG00000197249	2	flag = 4: Medium Confidence Fusion	False_Call	negative	10GB	90%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q90	ee22a55e-c19c-162f-045d-5efb9804fe27;41a85757-c15d-41b0-fda3-6661365b816d	ENSG00000231500:ENSG00000087086	2	flag = 5: High Confidence Fusion	False_Call	negative	10GB	90%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q90	9059f3b5-278a-3f69-1628-0beeb5c7585b;f5a7de45-41a1-6e99-51aa-b11ea8fa690f	ENSG00000156508:ENSG00000197249	2	flag = 5: High Confidence Fusion	False_Call	negative	10GB	90%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q90	26eef9f2-1e6c-8e06-f436-347bad0be18e;59abb2f9-129f-197e-f6af-aed9687cb3a4	ENSG00000239264:ENSG00000156508	2	flag = 5: High Confidence Fusion	False_Call	negative	10GB	90%	false_fusion
porechoptrimmed_Adapter_Simulated_10GB_nanopore2023_Q90	0fcd8a15-bac2-7486-53a7-4b31e69968ce;1df5de49-4d2f-9429-41cc-edac42a5a655;5f903d78-6c3f-e0ad-fbe1-c897112cb0e8	ENSG00000087086:ENSG00000163631	3	flag = 5: High Confidence Fusion	False_Call	negative	10GB	90%	false_fusion
