read_supp	control	fusion.gene.id	fusionType	depth	Sequence_Identity	Algorithm
25	negative	ENSG00000068796:ENSG00000086200	false_fusion	100GB	85%	LongGF
25	negative	ENSG00000144642:ENSG00000187398	false_fusion	100GB	85%	LongGF
9	negative	ENSG00000187398:ENSG00000283563	false_fusion	100GB	85%	LongGF
8	negative	ENSG00000013503:ENSG00000111785	false_fusion	100GB	85%	LongGF
7	negative	ENSG00000134853:ENSG00000145216	false_fusion	100GB	85%	LongGF
6	negative	ENSG00000130962:ENSG00000156298	false_fusion	100GB	85%	LongGF
4	negative	ENSG00000171863:ENSG00000197249	false_fusion	100GB	85%	LongGF
3	negative	ENSG00000087086:ENSG00000198886	false_fusion	100GB	85%	LongGF
3	negative	ENSG00000087086:ENSG00000197249	false_fusion	100GB	85%	LongGF
2	negative	ENSG00000091513:ENSG00000163631	false_fusion	100GB	85%	LongGF
2	negative	ENSG00000081051:ENSG00000198804	false_fusion	100GB	85%	LongGF
2	negative	ENSG00000071082:ENSG00000198804	false_fusion	100GB	85%	LongGF
2	negative	ENSG00000071082:ENSG00000131469	false_fusion	100GB	85%	LongGF
2	negative	ENSG00000091513:ENSG00000156508	false_fusion	100GB	85%	LongGF
2	negative	ENSG00000197756:ENSG00000198899	false_fusion	100GB	85%	LongGF
2	negative	ENSG00000172757:ENSG00000204628	false_fusion	100GB	85%	LongGF
2	negative	ENSG00000167658:ENSG00000198712	false_fusion	100GB	85%	LongGF
2	negative	ENSG00000145425:ENSG00000158874	false_fusion	100GB	85%	LongGF
2	negative	ENSG00000142937:ENSG00000197756	false_fusion	100GB	85%	LongGF
2	negative	ENSG00000101439:ENSG00000118137	false_fusion	100GB	85%	LongGF
60	negative	ENSG00000144642:ENSG00000187398	false_fusion	100GB	90%	LongGF
28	negative	ENSG00000068796:ENSG00000086200	false_fusion	100GB	90%	LongGF
27	negative	ENSG00000130962:ENSG00000156298	false_fusion	100GB	90%	LongGF
23	negative	ENSG00000134853:ENSG00000145216	false_fusion	100GB	90%	LongGF
22	negative	ENSG00000013503:ENSG00000111785	false_fusion	100GB	90%	LongGF
19	negative	ENSG00000187398:ENSG00000283563	false_fusion	100GB	90%	LongGF
3	negative	ENSG00000159147:ENSG00000241837	false_fusion	100GB	90%	LongGF
3	negative	ENSG00000087086:ENSG00000167526	false_fusion	100GB	90%	LongGF
3	negative	ENSG00000087086:ENSG00000163631	false_fusion	100GB	90%	LongGF
3	negative	ENSG00000142541:ENSG00000198938	false_fusion	100GB	90%	LongGF
3	negative	ENSG00000156508:ENSG00000198938	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000105193:ENSG00000196136	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000105193:ENSG00000233927	false_fusion	100GB	90%	LongGF
