fusion.gene.id	Sequence_Identity	depth	control	Algorithm	fusionType	Total_Read_Supp	overlap	recall_category
ENSG00000003393:ENSG00000145916	85%	100GB	positive	FusionSeeker	truncated_tri_fusion	38	1	Partial_Recall
ENSG00000003393:ENSG00000145916	90%	100GB	positive	FusionSeeker	truncated_tri_fusion	71	3	Partial_Recall
ENSG00000003393:ENSG00000145916	90%	100GB	positive	Genion	truncated_tri_fusion	25	3	Partial_Recall
ENSG00000003393:ENSG00000145916	90%	100GB	positive	JAFFAL	truncated_tri_fusion	2	3	Partial_Recall
ENSG00000003393:ENSG00000145916	90%	10GB	positive	FusionSeeker	truncated_tri_fusion	8	1	Partial_Recall
ENSG00000003393:ENSG00000145916	95%	100GB	positive	FusionSeeker	truncated_tri_fusion	142	3	Partial_Recall
ENSG00000003393:ENSG00000145916	95%	100GB	positive	Genion	truncated_tri_fusion	41	3	Partial_Recall
ENSG00000003393:ENSG00000145916	95%	100GB	positive	JAFFAL	truncated_tri_fusion	30	3	Partial_Recall
ENSG00000003393:ENSG00000145916	95%	10GB	positive	CTAT-LR-Fusion	truncated_tri_fusion	2	3	Partial_Recall
ENSG00000003393:ENSG00000145916	95%	10GB	positive	FusionSeeker	truncated_tri_fusion	28	3	Partial_Recall
ENSG00000003393:ENSG00000145916	95%	10GB	positive	JAFFAL	truncated_tri_fusion	7	3	Partial_Recall
ENSG00000003393:ENSG00000170448	85%	100GB	positive	FusionSeeker	reverse_order:truncated_tri_fusion	34	1	Partial_Recall
ENSG00000003393:ENSG00000170448	85%	10GB	positive	GFSeeker	reverse_order:truncated_tri_fusion	3	1	Partial_Recall
ENSG00000003393:ENSG00000170448	90%	100GB	positive	FusionSeeker	reverse_order:truncated_tri_fusion	97	1	Partial_Recall
ENSG00000003393:ENSG00000170448	90%	10GB	positive	FusionSeeker	reverse_order:truncated_tri_fusion	6	1	Partial_Recall
ENSG00000003393:ENSG00000170448	95%	100GB	positive	FusionSeeker	reverse_order:truncated_tri_fusion	105	1	Partial_Recall
ENSG00000003393:ENSG00000170448	95%	10GB	positive	FusionSeeker	reverse_order:truncated_tri_fusion	4	2	Partial_Recall
ENSG00000003393:ENSG00000170448	95%	10GB	positive	GFSeeker	reverse_order:truncated_tri_fusion	4	2	Partial_Recall
