FusionGene	Gene1	Gene1_Chromosome	Gene1_StartPosition	Gene1_EndPosition	Gene2	Gene2_Chromosome	Gene2_StartPosition	Gene2_EndPosition	Gene3	Gene3_Chromosome	Gene3_StartPosition	Gene3_EndPosition
ENSG00000009830.13-ENSG00000087258.16	ENSG00000009830.13	chr14	77298690	77301019	ENSG00000087258.16	chr16	56334730	56346435				
ENSG00000010671.18-ENSG00000183629.14-ENSG00000186115.13	ENSG00000010671.18	chrX	101359294	101386179	ENSG00000183629.14	chr15	28519616	28529005	ENSG00000186115.13	chr19	15892387.0	15898062.0
ENSG00000011275.19-ENSG00000165383.12-ENSG00000247572.9	ENSG00000011275.19	chr7	5761004	5781672	ENSG00000165383.12	chr10	48909481	48939759	ENSG00000247572.9	chr5	81237566.0	81250783.0
ENSG00000013375.17-ENSG00000225127.4	ENSG00000013375.17	chr6	83182846	83193229	ENSG00000225127.4	chr20	21092810	21102320				
ENSG00000020256.20-ENSG00000136444.10	ENSG00000020256.20	chr20	52096809	52104748	ENSG00000136444.10	chr17	50483341	50484834				
ENSG00000024422.12-ENSG00000130511.16	ENSG00000024422.12	chr19	47726170	47731406	ENSG00000130511.16	chr19	18427753	18431672				
ENSG00000025708.14-ENSG00000227188.1	ENSG00000025708.14	chr22	50528513	50529997	ENSG00000227188.1	chr22	39475808	39476531				
ENSG00000048740.19-ENSG00000225830.16	ENSG00000048740.19	chr10	11005325	11314216	ENSG00000225830.16	chr10	49454169	49471614				
ENSG00000050748.18-ENSG00000253908.1	ENSG00000050748.18	chr5	180280441	180280569	ENSG00000253908.1	chr5	180257681	180258207				
ENSG00000058673.17-ENSG00000058673.17	ENSG00000058673.17	chr1	203798847	203850660	ENSG00000058673.17	chr1	203798847	203850660				
ENSG00000060339.14-ENSG00000228451.5	ENSG00000060339.14	chr10	68721217	68742501	ENSG00000228451.5	chr8	26375914	26381815				
ENSG00000064787.14-ENSG00000064787.14	ENSG00000064787.14	chr20	53995893	53996031	ENSG00000064787.14	chr20	53995893	53996031				
ENSG00000065665.21-ENSG00000065665.21	ENSG00000065665.21	chr10	12129678	12164396	ENSG00000065665.21	chr10	12129678	12164396				
ENSG00000068097.16-ENSG00000196586.17-ENSG00000143228.13	ENSG00000068097.16	chr17	60076131	60078786	ENSG00000196586.17	chr6	75870648	75890113	ENSG00000143228.13	chr1	163266577.0	163336762.0
ENSG00000069329.18-ENSG00000034053.15-ENSG00000077782.23	ENSG00000069329.18	chr16	46681378	46689151	ENSG00000034053.15	chr15	28995754	29053926	ENSG00000077782.23	chr8	38423314.0	38428417.0
