seq_depth	seq_id	gene_fusion	Tool_Breakpoint	Distance_from_Simulated_Breakpoint	Algorithm	values_vector	Breakpoint_number
1GB	85%	ENSG00000125898:ENSG00000234948	FSB1	-3	FusionSeeker	-3	Breakpoint_1
1GB	85%	ENSG00000125898:ENSG00000234948	FSB2	24628	FusionSeeker	24628	Breakpoint_2
1GB	95%	ENSG00000196935:ENSG00000283625	FSB1	3	FusionSeeker	3	Breakpoint_1
1GB	95%	ENSG00000196935:ENSG00000283625	FSB2	752	FusionSeeker	752	Breakpoint_2
1GB	95%	ENSG00000260830:ENSG00000100461	JB1	0	JAFFAL	0	Breakpoint_1
1GB	95%	ENSG00000260830:ENSG00000100461	JB2	83	JAFFAL	83	Breakpoint_2
1GB	95%	ENSG00000223634:ENSG00000235497	FSB1	-112	FusionSeeker	-112	Breakpoint_1
1GB	95%	ENSG00000223634:ENSG00000235497	FSB2	231	FusionSeeker	231	Breakpoint_2
1GB	95%	ENSG00000223634:ENSG00000235497	JB1	-110	JAFFAL	-110	Breakpoint_1
1GB	95%	ENSG00000223634:ENSG00000235497	JB2	230	JAFFAL	230	Breakpoint_2
10GB	85%	ENSG00000196935:ENSG00000283625	FSB1	-4	FusionSeeker	-4	Breakpoint_1
10GB	85%	ENSG00000196935:ENSG00000283625	FSB2	752	FusionSeeker	752	Breakpoint_2
10GB	85%	ENSG00000149273:ENSG00000262898	FSB1	-761	FusionSeeker	-761	Breakpoint_1
10GB	85%	ENSG00000149273:ENSG00000262898	FSB2	-1	FusionSeeker	-1	Breakpoint_2
10GB	85%	ENSG00000149273:ENSG00000262898	CTATLRB1	-758	CTAT-LR-Fusion	-758	Breakpoint_1
10GB	85%	ENSG00000149273:ENSG00000262898	CTATLRB2	-13	CTAT-LR-Fusion	-13	Breakpoint_2
10GB	85%	ENSG00000182621:ENSG00000124155	FSB1	-1	FusionSeeker	-1	Breakpoint_1
10GB	85%	ENSG00000182621:ENSG00000124155	FSB2	-1	FusionSeeker	-1	Breakpoint_2
10GB	85%	ENSG00000182621:ENSG00000124155	JB1	0	JAFFAL	0	Breakpoint_1
10GB	85%	ENSG00000182621:ENSG00000124155	JB2	1	JAFFAL	1	Breakpoint_2
10GB	85%	ENSG00000182621:ENSG00000124155	CTATLRB1	0	CTAT-LR-Fusion	0	Breakpoint_1
10GB	85%	ENSG00000182621:ENSG00000124155	CTATLRB2	0	CTAT-LR-Fusion	0	Breakpoint_2
10GB	85%	ENSG00000009830:ENSG00000087258	FSB1	-1564	FusionSeeker	-1564	Breakpoint_1
10GB	85%	ENSG00000009830:ENSG00000087258	FSB2	-1	FusionSeeker	-1	Breakpoint_2
10GB	85%	ENSG00000009830:ENSG00000087258	LB1	-1564	LongGF	-1564	Breakpoint_1
10GB	85%	ENSG00000009830:ENSG00000087258	LB2	-1	LongGF	-1	Breakpoint_2
10GB	85%	ENSG00000009830:ENSG00000087258	CTATLRB1	-1564	CTAT-LR-Fusion	-1564	Breakpoint_1
10GB	85%	ENSG00000009830:ENSG00000087258	CTATLRB2	-1	CTAT-LR-Fusion	-1	Breakpoint_2
10GB	85%	ENSG00000104957:ENSG00000104518	FSB1	-3	FusionSeeker	-3	Breakpoint_1
10GB	85%	ENSG00000104957:ENSG00000104518	FSB2	1	FusionSeeker	1	Breakpoint_2
