fusion.gene.id	Sequence_Identity	depth	control	Algorithm	overlap	fusionType	Total_Read_Supp	recall_category
ENSG00000009830:ENSG00000087258	95%	100GB	positive	CTAT-LR-Fusion	6	hybrid	29	True_Recall
ENSG00000009830:ENSG00000087258	95%	100GB	positive	FusionSeeker	6	hybrid	29	True_Recall
ENSG00000009830:ENSG00000087258	95%	100GB	positive	GFSeeker	6	hybrid	35	True_Recall
ENSG00000009830:ENSG00000087258	95%	100GB	positive	Genion	6	hybrid	30	True_Recall
ENSG00000009830:ENSG00000087258	95%	100GB	positive	JAFFAL	6	hybrid	30	True_Recall
ENSG00000009830:ENSG00000087258	95%	100GB	positive	LongGF	6	hybrid	26	True_Recall
ENSG00000072571:ENSG00000130714	90%	100GB	positive	CTAT-LR-Fusion	6	truncated_tri_fusion	27	Partial_Recall
ENSG00000072571:ENSG00000130714	90%	100GB	positive	FusionSeeker	6	truncated_tri_fusion	36	Partial_Recall
ENSG00000072571:ENSG00000130714	90%	100GB	positive	GFSeeker	6	truncated_tri_fusion	24	Partial_Recall
ENSG00000072571:ENSG00000130714	90%	100GB	positive	Genion	6	truncated_tri_fusion	16	Partial_Recall
ENSG00000072571:ENSG00000130714	90%	100GB	positive	JAFFAL	6	truncated_tri_fusion	27	Partial_Recall
ENSG00000072571:ENSG00000130714	90%	100GB	positive	LongGF	6	truncated_tri_fusion	28	Partial_Recall
ENSG00000081985:ENSG00000184619	85%	100GB	positive	CTAT-LR-Fusion	6	truncated_tri_fusion	14	Partial_Recall
ENSG00000081985:ENSG00000184619	85%	100GB	positive	FusionSeeker	6	truncated_tri_fusion	29	Partial_Recall
ENSG00000081985:ENSG00000184619	85%	100GB	positive	GFSeeker	6	truncated_tri_fusion	17	Partial_Recall
ENSG00000081985:ENSG00000184619	85%	100GB	positive	Genion	6	truncated_tri_fusion	21	Partial_Recall
ENSG00000081985:ENSG00000184619	85%	100GB	positive	JAFFAL	6	truncated_tri_fusion	22	Partial_Recall
ENSG00000081985:ENSG00000184619	85%	100GB	positive	LongGF	6	truncated_tri_fusion	19	Partial_Recall
ENSG00000081985:ENSG00000184619	90%	100GB	positive	CTAT-LR-Fusion	6	truncated_tri_fusion	29	Partial_Recall
ENSG00000081985:ENSG00000184619	90%	100GB	positive	FusionSeeker	6	truncated_tri_fusion	36	Partial_Recall
ENSG00000081985:ENSG00000184619	90%	100GB	positive	GFSeeker	6	truncated_tri_fusion	31	Partial_Recall
ENSG00000081985:ENSG00000184619	90%	100GB	positive	Genion	6	truncated_tri_fusion	20	Partial_Recall
ENSG00000081985:ENSG00000184619	90%	100GB	positive	JAFFAL	6	truncated_tri_fusion	35	Partial_Recall
ENSG00000081985:ENSG00000184619	90%	100GB	positive	LongGF	6	truncated_tri_fusion	22	Partial_Recall
ENSG00000081985:ENSG00000184619	95%	100GB	positive	CTAT-LR-Fusion	6	truncated_tri_fusion	27	Partial_Recall
